fromPlaceName,0-30,30-60,60-120,120+
Albiano,81,192,602,87
Antisciana,71,451,363,45
Bagni di Lucca,38,152,592,148
Barga,165,240,479,69
Borgo a Mozzano,36,270,572,68
Borsigliana,115,156,304,202
Camporgiano,178,526,240,41
Careggine,33,64,320,274
Castelnuovo di Garfagnana,232,458,254,29
Castelvecchio Pascoli,167,342,426,31
Castiglione di Garfagnana,21,207,482,44
Cerretoli,53,109,674,97
Cogna,128,139,368,137
Colle,44,122,655,111
Colognola,203,195,524,61
Coreglia Antelminelli,0,0,40,504
Cortia,185,190,530,101
Fabbriche di Vergemoli,0,57,272,396
Filecchio,72,187,549,137
Fornaci di Barga,208,332,406,23
Fosciandora,5,369,540,66
Gallicano,161,361,435,26
Gragnana,167,174,522,102
Gragnanella,59,360,446,58
Livignano,103,169,315,189
Loppia,105,218,570,43
Lucca,0,92,531,317
Metello,36,47,226,240
Minucciano,30,132,428,256
Molazzana,25,203,547,182
Mologno,199,405,337,27
Monterotondo,76,413,424,64
Nicciano,202,185,516,76
Palleroso,28,285,608,71
Pescaglia,0,40,217,468
Petrognano,251,363,329,43
Petrognola,118,207,498,182
Piazza al Serchio,299,347,297,47
Pieve Fosciana,0,10,270,215
Ponte all'Ania,164,234,553,40
Renaio,5,99,234,137
Rontano,0,60,272,319
San Donnino,260,248,427,47
San Michele,276,225,430,52
San Pietro in Campo,132,384,409,35
San Romano in Garfagnana,92,385,415,67
Sant'Anastasio,85,215,561,127
Sillano Giuncugnano,124,165,339,191
Sommocolonia,5,153,405,171
Tiglio,5,110,258,234
Vergnano,174,138,357,171
Villa Collemandina,15,151,514,74
