,fromPlaceName,0-30,30-60,60-120,120+
0,Bagni di Lucca,18,58,186,69
1,Barga,16,126,148,47
2,Borgo a Mozzano,18,124,165,29
3,Camporgiano,54,125,141,29
4,Careggine,0,16,113,122
5,Castelnuovo di Garfagnana,52,180,84,23
6,Castiglione di Garfagnana,21,93,133,23
7,Coreglia Antelminelli,0,0,10,188
8,Fabbriche di Vergemoli,0,26,115,113
9,Fosciandora,5,113,181,45
10,Gallicano,37,173,116,17
11,Lucca,0,45,185,101
12,Minucciano,5,25,148,117
13,Molazzana,17,49,191,75
14,Pescaglia,0,20,87,156
15,Piazza al Serchio,56,102,154,29
16,Pieve Fosciana,0,10,85,85
17,San Romano in Garfagnana,32,93,169,45
18,Sillano Giuncugnano,23,27,135,102
19,Villa Collemandina,15,75,131,47
