fromPlaceName,0-30,30-60,60-120,120+
Bagni di Lucca,5.438066465256798,22.356495468277945,51.3595166163142,20.84592145015106
Barga,4.747774480712167,39.46587537091988,43.02670623145401,12.759643916913946
Borgo a Mozzano,5.357142857142857,36.904761904761905,50.0,7.738095238095238
Camporgiano,16.9054441260745,37.249283667621775,37.82234957020057,8.022922636103152
Careggine,0.0,6.374501992031872,45.0199203187251,48.60557768924303
Castelnuovo di Garfagnana,18.58407079646018,49.852507374631266,25.958702064896755,5.604719764011799
Castiglione di Garfagnana,10.74074074074074,31.851851851851855,48.888888888888886,8.518518518518519
Coreglia Antelminelli,0.0,0.0,5.05050505050505,94.94949494949495
Fabbriche di Vergemoli,0.0,10.236220472440944,45.2755905511811,44.48818897637795
Fosciandora,2.9069767441860463,33.72093023255814,50.872093023255815,12.5
Gallicano,10.787172011661808,50.437317784256564,33.819241982507286,4.956268221574344
Lucca,0.0,13.595166163141995,55.89123867069487,30.513595166163142
Minucciano,1.694915254237288,8.47457627118644,50.16949152542372,39.66101694915255
Molazzana,5.120481927710843,14.759036144578314,57.53012048192772,22.590361445783135
Pescaglia,0.0,9.505703422053232,31.93916349809886,58.55513307984791
Piazza al Serchio,16.422287390029325,32.55131964809384,42.52199413489736,8.504398826979472
Pieve Fosciana,0.0,5.555555555555555,47.22222222222222,47.22222222222222
San Romano in Garfagnana,10.914454277286136,25.958702064896755,51.32743362831859,11.799410029498524
Sillano Giuncugnano,8.013937282229964,9.40766550522648,47.038327526132406,35.54006968641115
Villa Collemandina,8.208955223880597,25.37313432835821,48.88059701492538,17.537313432835823
