,source,target,weight
0,Albiano,Bagni di Lucca,1
1,Albiano,Borgo a Mozzano,1
2,Albiano,Camporgiano,1
3,Albiano,Castelnuovo di Garfagnana,1
4,Albiano,Fosciandora,1
5,Albiano,Gallicano,1
6,Albiano,Lucca,1
7,Albiano,Molazzana,1
8,Albiano,Piazza al Serchio,1
9,Albiano,San Romano in Garfagnana,1
10,Antisciana,Bagni di Lucca,1
11,Antisciana,Borgo a Mozzano,1
12,Antisciana,Camporgiano,1
13,Antisciana,Castelnuovo di Garfagnana,1
14,Antisciana,Fosciandora,1
15,Antisciana,Gallicano,1
16,Antisciana,Lucca,1
17,Antisciana,Molazzana,1
18,Antisciana,Piazza al Serchio,1
19,Antisciana,San Romano in Garfagnana,1
20,Bagni di Lucca,Albiano,17
21,Bagni di Lucca,Antisciana,15
22,Bagni di Lucca,Castelvecchio Pascoli,20
23,Bagni di Lucca,Cerretoli,15
24,Bagni di Lucca,Colle,15
25,Bagni di Lucca,Colognola,20
26,Bagni di Lucca,Cortia,20
27,Bagni di Lucca,Filecchio,20
28,Bagni di Lucca,Fornaci di Barga,20
29,Bagni di Lucca,Gragnana,20
30,Bagni di Lucca,Gragnanella,15
31,Bagni di Lucca,Loppia,20
32,Bagni di Lucca,Mologno,20
33,Bagni di Lucca,Monterotondo,15
34,Bagni di Lucca,Nicciano,20
35,Bagni di Lucca,Palleroso,15
36,Bagni di Lucca,Petrognano,20
37,Bagni di Lucca,Petrognola,18
38,Bagni di Lucca,Ponte all'Ania,20
39,Bagni di Lucca,San Donnino,20
40,Bagni di Lucca,San Michele,20
41,Bagni di Lucca,San Pietro in Campo,20
42,Bagni di Lucca,Sant'Anastasio,20
43,Borgo a Mozzano,Albiano,17
44,Borgo a Mozzano,Antisciana,18
45,Borgo a Mozzano,Castelvecchio Pascoli,21
46,Borgo a Mozzano,Cerretoli,18
47,Borgo a Mozzano,Colle,18
48,Borgo a Mozzano,Colognola,21
49,Borgo a Mozzano,Cortia,21
