,source,target,weight
0,Antisciana,Borgo a Mozzano,15
1,Antisciana,Camporgiano,15
2,Antisciana,Castelnuovo di Garfagnana,15
3,Antisciana,Fornaci di Barga,2
4,Antisciana,Gallicano,15
5,Antisciana,Gragnanella,21
6,Antisciana,Lucca,14
7,Antisciana,Mologno,4
8,Antisciana,Petrognano,15
9,Antisciana,Piazza al Serchio,15
10,Antisciana,San Donnino,15
11,Bagni di Lucca,Borgo a Mozzano,5
12,Bagni di Lucca,Camporgiano,5
13,Bagni di Lucca,Castelnuovo di Garfagnana,5
14,Bagni di Lucca,Castelvecchio Pascoli,5
15,Bagni di Lucca,Fornaci di Barga,5
16,Bagni di Lucca,Lucca,5
17,Bagni di Lucca,Mologno,5
18,Bagni di Lucca,Piazza al Serchio,5
19,Bagni di Lucca,San Donnino,5
20,Bagni di Lucca,San Michele,5
21,Borgo a Mozzano,Antisciana,18
22,Borgo a Mozzano,Bagni di Lucca,10
23,Borgo a Mozzano,Camporgiano,21
24,Borgo a Mozzano,Castelnuovo di Garfagnana,21
25,Borgo a Mozzano,Castelvecchio Pascoli,11
26,Borgo a Mozzano,Fornaci di Barga,20
27,Borgo a Mozzano,Gallicano,15
28,Borgo a Mozzano,Lucca,19
29,Borgo a Mozzano,Mologno,20
30,Borgo a Mozzano,Petrognano,15
31,Borgo a Mozzano,Piazza al Serchio,21
32,Borgo a Mozzano,San Donnino,6
33,Borgo a Mozzano,San Michele,20
34,Camporgiano,Antisciana,17
35,Camporgiano,Borgo a Mozzano,21
36,Camporgiano,Castelnuovo di Garfagnana,21
37,Camporgiano,Castelvecchio Pascoli,18
38,Camporgiano,Fornaci di Barga,21
39,Camporgiano,Gallicano,15
40,Camporgiano,Gragnanella,15
41,Camporgiano,Lucca,19
42,Camporgiano,Mologno,21
43,Camporgiano,Petrognano,15
44,Camporgiano,Piazza al Serchio,21
45,Camporgiano,San Donnino,21
46,Camporgiano,San Michele,21
47,Castelnuovo di Garfagnana,Antisciana,15
48,Castelnuovo di Garfagnana,Borgo a Mozzano,21
49,Castelnuovo di Garfagnana,Camporgiano,21
50,Castelnuovo di Garfagnana,Castelvecchio Pascoli,15
51,Castelnuovo di Garfagnana,Fornaci di Barga,21
52,Castelnuovo di Garfagnana,Gallicano,15
53,Castelnuovo di Garfagnana,Gragnanella,15
54,Castelnuovo di Garfagnana,Mologno,19
55,Castelnuovo di Garfagnana,Petrognano,15
56,Castelnuovo di Garfagnana,Piazza al Serchio,21
57,Castelnuovo di Garfagnana,San Donnino,15
58,Castelnuovo di Garfagnana,San Michele,15
59,Castelvecchio Pascoli,Borgo a Mozzano,7
60,Castelvecchio Pascoli,Camporgiano,20
61,Castelvecchio Pascoli,Castelnuovo di Garfagnana,15
62,Castelvecchio Pascoli,Mologno,13
63,Castelvecchio Pascoli,Petrognano,15
64,Castelvecchio Pascoli,Piazza al Serchio,20
65,Colognola,Gragnana,23
66,Colognola,Petrognola,21
67,Colognola,Piazza al Serchio,23
68,Colognola,San Michele,23
69,Colognola,Sant'Anastasio,23
70,Cortia,Nicciano,24
71,Filecchio,Ponte all'Ania,20
72,Fornaci di Barga,Antisciana,3
73,Fornaci di Barga,Borgo a Mozzano,19
74,Fornaci di Barga,Camporgiano,21
75,Fornaci di Barga,Castelnuovo di Garfagnana,21
76,Fornaci di Barga,Lucca,19
77,Fornaci di Barga,Mologno,20
78,Fornaci di Barga,Petrognano,15
79,Fornaci di Barga,Piazza al Serchio,21
80,Fornaci di Barga,Ponte all'Ania,22
81,Gallicano,Antisciana,15
82,Gallicano,Borgo a Mozzano,15
83,Gallicano,Camporgiano,15
84,Gallicano,Castelnuovo di Garfagnana,15
85,Gallicano,Mologno,22
86,Gallicano,Petrognano,15
87,Gallicano,Piazza al Serchio,4
88,Gallicano,San Donnino,15
89,Gragnana,Colognola,24
90,Gragnana,San Michele,24
91,Gragnanella,Antisciana,21
92,Gragnanella,Camporgiano,15
93,Gragnanella,Castelnuovo di Garfagnana,15
94,Gragnanella,Petrognano,15
95,Gragnanella,Piazza al Serchio,15
96,Lucca,Antisciana,15
97,Lucca,Bagni di Lucca,10
98,Lucca,Borgo a Mozzano,20
99,Lucca,Camporgiano,20
100,Lucca,Fornaci di Barga,20
101,Lucca,Mologno,20
102,Lucca,Piazza al Serchio,20
103,Mologno,Antisciana,3
104,Mologno,Borgo a Mozzano,19
105,Mologno,Camporgiano,21
106,Mologno,Castelnuovo di Garfagnana,20
107,Mologno,Castelvecchio Pascoli,18
108,Mologno,Fornaci di Barga,19
109,Mologno,Gallicano,23
110,Mologno,Lucca,19
111,Mologno,Petrognano,15
112,Mologno,Piazza al Serchio,20
113,Mologno,San Donnino,20
114,Mologno,San Michele,20
115,Monterotondo,Camporgiano,15
116,Monterotondo,Petrognano,15
117,Nicciano,Cortia,23
118,Nicciano,San Michele,23
119,Petrognano,Antisciana,15
120,Petrognano,Borgo a Mozzano,15
121,Petrognano,Camporgiano,15
122,Petrognano,Castelnuovo di Garfagnana,15
123,Petrognano,Castelvecchio Pascoli,15
124,Petrognano,Fornaci di Barga,15
125,Petrognano,Gallicano,15
126,Petrognano,Gragnanella,15
127,Petrognano,Mologno,11
128,Petrognano,Piazza al Serchio,18
129,Petrognano,San Donnino,24
130,Petrognano,San Michele,18
131,Petrognola,Colognola,24
132,Petrognola,Sant'Anastasio,24
133,Piazza al Serchio,Antisciana,16
134,Piazza al Serchio,Borgo a Mozzano,21
135,Piazza al Serchio,Camporgiano,21
136,Piazza al Serchio,Castelnuovo di Garfagnana,21
137,Piazza al Serchio,Castelvecchio Pascoli,18
138,Piazza al Serchio,Colognola,24
139,Piazza al Serchio,Fornaci di Barga,21
140,Piazza al Serchio,Gallicano,2
141,Piazza al Serchio,Gragnanella,16
142,Piazza al Serchio,Lucca,19
143,Piazza al Serchio,Mologno,19
144,Piazza al Serchio,Petrognano,15
145,Piazza al Serchio,San Donnino,24
146,Piazza al Serchio,San Michele,24
147,Ponte all'Ania,Filecchio,21
148,Ponte all'Ania,Fornaci di Barga,23
149,San Donnino,Antisciana,15
150,San Donnino,Borgo a Mozzano,8
151,San Donnino,Camporgiano,21
152,San Donnino,Castelnuovo di Garfagnana,15
153,San Donnino,Gallicano,11
154,San Donnino,Mologno,19
155,San Donnino,Petrognano,24
156,San Donnino,Piazza al Serchio,24
157,San Michele,Borgo a Mozzano,19
158,San Michele,Camporgiano,21
159,San Michele,Castelnuovo di Garfagnana,10
160,San Michele,Colognola,24
161,San Michele,Gragnana,24
162,San Michele,Mologno,19
163,San Michele,Nicciano,24
164,San Michele,Petrognano,15
165,San Michele,Piazza al Serchio,24
166,Sant'Anastasio,Colognola,24
