,fromPlaceName,interval,count
0,2041.0,60-120,14
1,2041.0,0-30,3
2,2041.0,30-60,10
3,2041.0,60-120,14
4,2041.0,60-120,14
5,2041.0,120+,4
6,2041.0,30-60,10
7,2041.0,60-120,14
8,2041.0,30-60,10
9,2041.0,60-120,14
10,2041.0,30-60,10
11,2041.0,60-120,14
12,2041.0,120+,4
13,2041.0,30-60,10
14,2041.0,0-30,3
15,2041.0,60-120,14
16,2041.0,0-30,3
17,2041.0,30-60,10
18,2041.0,30-60,10
19,2041.0,60-120,14
20,2041.0,30-60,10
21,2041.0,60-120,14
22,2041.0,60-120,14
23,2041.0,30-60,10
24,2041.0,60-120,14
25,2041.0,30-60,10
26,2041.0,60-120,14
27,2041.0,120+,4
28,2041.0,60-120,14
29,2041.0,120+,4
30,2041.0,60-120,14
31,509.0,60-120,12
32,509.0,30-60,2
33,509.0,30-60,2
34,509.0,60-120,12
35,509.0,60-120,12
36,509.0,120+,16
37,509.0,60-120,12
38,509.0,120+,16
39,509.0,60-120,12
40,509.0,120+,16
41,509.0,120+,16
42,509.0,60-120,12
43,509.0,120+,16
44,509.0,120+,16
45,509.0,60-120,12
46,509.0,120+,16
47,509.0,120+,16
48,509.0,60-120,12
49,509.0,120+,16
50,509.0,120+,16
51,509.0,60-120,12
52,509.0,60-120,12
53,509.0,120+,16
54,509.0,60-120,12
55,509.0,120+,16
56,509.0,60-120,12
57,509.0,120+,16
58,509.0,120+,16
59,509.0,120+,16
60,509.0,120+,16
61,5650.0,0-30,5
62,5650.0,30-60,14
63,5650.0,30-60,14
64,5650.0,0-30,5
65,5650.0,0-30,5
66,5650.0,30-60,14
67,5650.0,60-120,8
68,5650.0,120+,4
69,5650.0,0-30,5
70,5650.0,30-60,14
71,5650.0,30-60,14
72,5650.0,60-120,8
73,5650.0,120+,4
74,5650.0,30-60,14
75,5650.0,60-120,8
76,5650.0,30-60,14
77,5650.0,30-60,14
78,5650.0,30-60,14
79,5650.0,0-30,5
80,5650.0,60-120,8
81,5650.0,30-60,14
82,5650.0,30-60,14
83,5650.0,60-120,8
84,5650.0,60-120,8
85,5650.0,30-60,14
86,5650.0,30-60,14
87,5650.0,30-60,14
88,5650.0,120+,4
89,5650.0,60-120,8
90,5650.0,120+,4
91,5650.0,60-120,8
92,1707.0,30-60,10
93,1707.0,60-120,15
94,1707.0,60-120,15
95,1707.0,30-60,10
96,1707.0,0-30,2
97,1707.0,30-60,10
98,1707.0,60-120,15
99,1707.0,120+,7
100,1707.0,30-60,10
101,1707.0,60-120,15
102,1707.0,30-60,10
103,1707.0,60-120,15
104,1707.0,60-120,15
105,1707.0,120+,7
106,1707.0,60-120,15
107,1707.0,120+,7
108,1707.0,30-60,10
109,1707.0,60-120,15
110,1707.0,30-60,10
111,1707.0,30-60,10
112,1707.0,60-120,15
113,1707.0,60-120,15
114,1707.0,0-30,2
115,1707.0,30-60,10
116,1707.0,60-120,15
117,1707.0,120+,7
118,1707.0,30-60,10
119,1707.0,60-120,15
120,1707.0,60-120,15
121,1707.0,120+,7
122,1707.0,60-120,15
123,1707.0,120+,7
124,1707.0,60-120,15
125,1707.0,120+,7
126,715.0,120+,12
127,715.0,60-120,10
128,715.0,120+,12
129,715.0,60-120,10
130,715.0,120+,12
131,715.0,60-120,10
132,715.0,30-60,2
133,715.0,120+,12
134,715.0,60-120,10
135,715.0,120+,12
136,715.0,60-120,10
137,715.0,120+,12
138,715.0,120+,12
139,715.0,60-120,10
140,715.0,120+,12
141,715.0,120+,12
