,source,target,weight
63,Bagni di Lucca,Albiano,6
64,Bagni di Lucca,Antisciana,7
69,Bagni di Lucca,Castelvecchio Pascoli,6
70,Bagni di Lucca,Colognola,5
72,Bagni di Lucca,Fornaci di Barga,15
74,Bagni di Lucca,Gragnana,5
75,Bagni di Lucca,Gragnanella,5
76,Bagni di Lucca,Loppia,6
79,Bagni di Lucca,Mologno,11
81,Bagni di Lucca,Petrognano,5
83,Bagni di Lucca,Ponte all'Ania,10
84,Bagni di Lucca,San Donnino,11
85,Bagni di Lucca,San Michele,11
86,Bagni di Lucca,San Pietro in Campo,5
89,Bagni di Lucca,Vergnano,5
91,Barga,Albiano,14
92,Barga,Antisciana,12
95,Barga,Borsigliana,6
98,Barga,Castelvecchio Pascoli,14
100,Barga,Cogna,13
101,Barga,Colognola,5
102,Barga,Cortia,14
104,Barga,Filecchio,16
105,Barga,Fornaci di Barga,16
107,Barga,Gragnana,10
108,Barga,Gragnanella,10
109,Barga,Livignano,5
110,Barga,Loppia,16
114,Barga,Mologno,17
115,Barga,Monterotondo,5
116,Barga,Nicciano,14
117,Barga,Palleroso,6
119,Barga,Petrognano,16
120,Barga,Petrognola,5
122,Barga,Ponte all'Ania,17
123,Barga,San Donnino,16
124,Barga,San Michele,16
125,Barga,San Pietro in Campo,17
128,Barga,Vergnano,13
130,Borgo a Mozzano,Albiano,6
131,Borgo a Mozzano,Antisciana,17
136,Borgo a Mozzano,Castelvecchio Pascoli,13
138,Borgo a Mozzano,Cogna,3
139,Borgo a Mozzano,Colognola,7
140,Borgo a Mozzano,Cortia,6
142,Borgo a Mozzano,Filecchio,10
143,Borgo a Mozzano,Fornaci di Barga,20
145,Borgo a Mozzano,Gragnana,10
146,Borgo a Mozzano,Gragnanella,5
147,Borgo a Mozzano,Loppia,12
151,Borgo a Mozzano,Mologno,20
152,Borgo a Mozzano,Nicciano,4
153,Borgo a Mozzano,Palleroso,2
155,Borgo a Mozzano,Petrognano,21
156,Borgo a Mozzano,Petrognola,3
158,Borgo a Mozzano,Ponte all'Ania,18
159,Borgo a Mozzano,San Donnino,11
160,Borgo a Mozzano,San Michele,20
161,Borgo a Mozzano,San Pietro in Campo,11
164,Borgo a Mozzano,Vergnano,13
180,Camporgiano,Albiano,6
181,Camporgiano,Antisciana,22
185,Camporgiano,Borsigliana,10
187,Camporgiano,Castelvecchio Pascoli,22
189,Camporgiano,Cogna,11
190,Camporgiano,Colognola,10
191,Camporgiano,Cortia,11
193,Camporgiano,Filecchio,5
194,Camporgiano,Fornaci di Barga,21
196,Camporgiano,Gragnana,13
197,Camporgiano,Gragnanella,22
198,Camporgiano,Livignano,14
199,Camporgiano,Loppia,2
203,Camporgiano,Mologno,22
204,Camporgiano,Monterotondo,10
205,Camporgiano,Nicciano,11
206,Camporgiano,Palleroso,1
208,Camporgiano,Petrognano,22
209,Camporgiano,Petrognola,5
211,Camporgiano,Ponte all'Ania,14
212,Camporgiano,San Donnino,22
213,Camporgiano,San Michele,22
214,Camporgiano,San Pietro in Campo,19
216,Camporgiano,Sant'Anastasio,5
218,Camporgiano,Vergnano,12
220,Castelnuovo di Garfagnana,Albiano,11
221,Castelnuovo di Garfagnana,Antisciana,21
