source,target,date,fromLat,fromLon,toLat,toLon,weight
Bagni di Lucca,Barga,10-10-2023,44.0089207,10.5743811,44.07326495,10.4775162,20
Bagni di Lucca,Borgo a Mozzano,07-05-2023,44.0089207,10.5743811,43.98057185,10.54311025,20
Bagni di Lucca,Borgo a Mozzano,07-09-2023,44.0089207,10.5743811,43.98057185,10.54311025,19
Bagni di Lucca,Borgo a Mozzano,10-01-2023,44.0089207,10.5743811,43.98057185,10.54311025,20
Bagni di Lucca,Borgo a Mozzano,10-10-2023,44.0089207,10.5743811,43.98057185,10.54311025,21
Bagni di Lucca,Camporgiano,10-01-2023,44.0089207,10.5743811,44.15955695,10.3330076,20
Bagni di Lucca,Camporgiano,10-10-2023,44.0089207,10.5743811,44.15955695,10.3330076,21
Bagni di Lucca,Careggine,10-10-2023,44.0089207,10.5743811,44.11944175,10.3256665,13
Bagni di Lucca,Castelnuovo di Garfagnana,07-05-2023,44.0089207,10.5743811,44.11419535,10.4024762,17
Bagni di Lucca,Castelnuovo di Garfagnana,07-09-2023,44.0089207,10.5743811,44.11419535,10.4024762,20
Bagni di Lucca,Castelnuovo di Garfagnana,10-01-2023,44.0089207,10.5743811,44.11419535,10.4024762,20
Bagni di Lucca,Castelnuovo di Garfagnana,10-10-2023,44.0089207,10.5743811,44.11419535,10.4024762,21
Bagni di Lucca,Castiglione di Garfagnana,10-10-2023,44.0089207,10.5743811,44.1517665,10.41126715,15
Bagni di Lucca,Coreglia Antelminelli,10-10-2023,44.0089207,10.5743811,44.0692364,10.5599585,8
Bagni di Lucca,Fabbriche di Vergemoli,10-10-2023,44.0089207,10.5743811,43.99803285,10.42961115,15
Bagni di Lucca,Fosciandora,07-05-2023,44.0089207,10.5743811,44.11533145,10.45835555,10
Bagni di Lucca,Fosciandora,07-09-2023,44.0089207,10.5743811,44.11533145,10.45835555,18
Bagni di Lucca,Fosciandora,10-01-2023,44.0089207,10.5743811,44.11533145,10.45835555,18
Bagni di Lucca,Fosciandora,10-10-2023,44.0089207,10.5743811,44.11533145,10.45835555,21
Bagni di Lucca,Gallicano,07-05-2023,44.0089207,10.5743811,44.06049345,10.4397426,17
Bagni di Lucca,Gallicano,07-09-2023,44.0089207,10.5743811,44.06049345,10.4397426,20
Bagni di Lucca,Gallicano,10-01-2023,44.0089207,10.5743811,44.06049345,10.4397426,20
Bagni di Lucca,Gallicano,10-10-2023,44.0089207,10.5743811,44.06049345,10.4397426,21
Bagni di Lucca,Lucca,07-05-2023,44.0089207,10.5743811,43.84281,10.50238,20
Bagni di Lucca,Lucca,07-09-2023,44.0089207,10.5743811,43.84281,10.50238,19
Bagni di Lucca,Lucca,10-01-2023,44.0089207,10.5743811,43.84281,10.50238,19
Bagni di Lucca,Lucca,10-10-2023,44.0089207,10.5743811,43.84281,10.50238,20
Bagni di Lucca,Minucciano,10-10-2023,44.0089207,10.5743811,44.1696951,10.20750045,15
Bagni di Lucca,Molazzana,10-01-2023,44.0089207,10.5743811,44.07211555,10.4178267,15
Bagni di Lucca,Molazzana,10-10-2023,44.0089207,10.5743811,44.07211555,10.4178267,21
Bagni di Lucca,Pescaglia,07-05-2023,44.0089207,10.5743811,43.9649472,10.41305245,24
Bagni di Lucca,Pescaglia,07-09-2023,44.0089207,10.5743811,43.9649472,10.41305245,24
Bagni di Lucca,Pescaglia,10-01-2023,44.0089207,10.5743811,43.9649472,10.41305245,6
Bagni di Lucca,Pescaglia,10-10-2023,44.0089207,10.5743811,43.9649472,10.41305245,20
Bagni di Lucca,Piazza al Serchio,10-01-2023,44.0089207,10.5743811,44.1846216,10.2940049,20
Bagni di Lucca,Piazza al Serchio,10-10-2023,44.0089207,10.5743811,44.1846216,10.2940049,21
Bagni di Lucca,Pieve Fosciana,10-10-2023,44.0089207,10.5743811,44.14504415,10.44694585,11
Bagni di Lucca,San Romano in Garfagnana,10-01-2023,44.0089207,10.5743811,44.1703812,10.34601445,20
Bagni di Lucca,San Romano in Garfagnana,10-10-2023,44.0089207,10.5743811,44.1703812,10.34601445,20
Bagni di Lucca,Sillano Giuncugnano,10-10-2023,44.0089207,10.5743811,44.2231432,10.300024,16
Bagni di Lucca,Villa Collemandina,10-10-2023,44.0089207,10.5743811,44.15904725,10.39775715,14
Barga,Bagni di Lucca,10-10-2023,44.07326495,10.4775162,44.0089207,10.5743811,18
Barga,Borgo a Mozzano,07-05-2023,44.07326495,10.4775162,43.98057185,10.54311025,24
Barga,Borgo a Mozzano,07-09-2023,44.07326495,10.4775162,43.98057185,10.54311025,24
Barga,Borgo a Mozzano,10-10-2023,44.07326495,10.4775162,43.98057185,10.54311025,18
Barga,Camporgiano,10-10-2023,44.07326495,10.4775162,44.15955695,10.3330076,21
Barga,Careggine,10-10-2023,44.07326495,10.4775162,44.11944175,10.3256665,14
Barga,Castelnuovo di Garfagnana,07-05-2023,44.07326495,10.4775162,44.11419535,10.4024762,24
Barga,Castelnuovo di Garfagnana,07-09-2023,44.07326495,10.4775162,44.11419535,10.4024762,24
Barga,Castelnuovo di Garfagnana,10-10-2023,44.07326495,10.4775162,44.11419535,10.4024762,21
Barga,Castiglione di Garfagnana,07-05-2023,44.07326495,10.4775162,44.1517665,10.41126715,24
Barga,Castiglione di Garfagnana,07-09-2023,44.07326495,10.4775162,44.1517665,10.41126715,24
Barga,Castiglione di Garfagnana,10-10-2023,44.07326495,10.4775162,44.1517665,10.41126715,16
Barga,Coreglia Antelminelli,07-05-2023,44.07326495,10.4775162,44.0692364,10.5599585,24
Barga,Coreglia Antelminelli,07-09-2023,44.07326495,10.4775162,44.0692364,10.5599585,24
Barga,Coreglia Antelminelli,10-10-2023,44.07326495,10.4775162,44.0692364,10.5599585,13
Barga,Fabbriche di Vergemoli,07-05-2023,44.07326495,10.4775162,43.99803285,10.42961115,24
Barga,Fabbriche di Vergemoli,07-09-2023,44.07326495,10.4775162,43.99803285,10.42961115,24
Barga,Fabbriche di Vergemoli,10-10-2023,44.07326495,10.4775162,43.99803285,10.42961115,14
Barga,Fosciandora,07-05-2023,44.07326495,10.4775162,44.11533145,10.45835555,24
Barga,Fosciandora,07-09-2023,44.07326495,10.4775162,44.11533145,10.45835555,24
Barga,Fosciandora,10-10-2023,44.07326495,10.4775162,44.11533145,10.45835555,22
Barga,Gallicano,07-05-2023,44.07326495,10.4775162,44.06049345,10.4397426,24
Barga,Gallicano,07-09-2023,44.07326495,10.4775162,44.06049345,10.4397426,24
Barga,Gallicano,10-10-2023,44.07326495,10.4775162,44.06049345,10.4397426,22
Barga,Lucca,10-10-2023,44.07326495,10.4775162,43.84281,10.50238,18
Barga,Minucciano,10-10-2023,44.07326495,10.4775162,44.1696951,10.20750045,17
Barga,Molazzana,07-05-2023,44.07326495,10.4775162,44.07211555,10.4178267,24
Barga,Molazzana,07-09-2023,44.07326495,10.4775162,44.07211555,10.4178267,24
Barga,Molazzana,10-10-2023,44.07326495,10.4775162,44.07211555,10.4178267,21
Barga,Pescaglia,10-10-2023,44.07326495,10.4775162,43.9649472,10.41305245,17
Barga,Piazza al Serchio,10-10-2023,44.07326495,10.4775162,44.1846216,10.2940049,21
Barga,Pieve Fosciana,07-05-2023,44.07326495,10.4775162,44.14504415,10.44694585,24
Barga,Pieve Fosciana,07-09-2023,44.07326495,10.4775162,44.14504415,10.44694585,24
Barga,Pieve Fosciana,10-10-2023,44.07326495,10.4775162,44.14504415,10.44694585,13
Barga,San Romano in Garfagnana,10-10-2023,44.07326495,10.4775162,44.1703812,10.34601445,22
Barga,Sillano Giuncugnano,10-10-2023,44.07326495,10.4775162,44.2231432,10.300024,17
Barga,Villa Collemandina,07-05-2023,44.07326495,10.4775162,44.15904725,10.39775715,24
Barga,Villa Collemandina,07-09-2023,44.07326495,10.4775162,44.15904725,10.39775715,24
Barga,Villa Collemandina,10-10-2023,44.07326495,10.4775162,44.15904725,10.39775715,17
