,source,target,weight
0,Albiano,Antisciana,10
1,Albiano,Bagni di Lucca,18
2,Albiano,Borgo a Mozzano,18
3,Albiano,Camporgiano,17
4,Albiano,Castelnuovo di Garfagnana,17
5,Albiano,Castelvecchio Pascoli,18
6,Albiano,Castiglione di Garfagnana,5
7,Albiano,Cerretoli,10
8,Albiano,Colle,10
9,Albiano,Colognola,17
10,Albiano,Cortia,17
11,Albiano,Filecchio,18
12,Albiano,Fornaci di Barga,16
13,Albiano,Fosciandora,17
14,Albiano,Gallicano,18
15,Albiano,Gragnana,17
16,Albiano,Gragnanella,10
17,Albiano,Loppia,18
18,Albiano,Lucca,18
19,Albiano,Molazzana,10
20,Albiano,Mologno,18
21,Albiano,Monterotondo,15
22,Albiano,Nicciano,17
23,Albiano,Palleroso,15
24,Albiano,Petrognano,17
25,Albiano,Petrognola,15
26,Albiano,Piazza al Serchio,17
27,Albiano,Ponte all'Ania,18
28,Albiano,Rontano,5
29,Albiano,San Donnino,17
30,Albiano,San Michele,17
31,Albiano,San Pietro in Campo,18
32,Albiano,San Romano in Garfagnana,17
33,Albiano,Sant'Anastasio,17
34,Antisciana,Albiano,12
35,Antisciana,Bagni di Lucca,14
36,Antisciana,Borgo a Mozzano,15
37,Antisciana,Camporgiano,15
38,Antisciana,Castelnuovo di Garfagnana,21
39,Antisciana,Castelvecchio Pascoli,15
40,Antisciana,Colognola,17
41,Antisciana,Cortia,17
42,Antisciana,Filecchio,14
43,Antisciana,Fornaci di Barga,17
44,Antisciana,Fosciandora,19
45,Antisciana,Gallicano,15
46,Antisciana,Gragnana,17
47,Antisciana,Gragnanella,21
48,Antisciana,Loppia,19
49,Antisciana,Lucca,14
50,Antisciana,Molazzana,15
51,Antisciana,Mologno,19
52,Antisciana,Monterotondo,21
53,Antisciana,Nicciano,17
54,Antisciana,Palleroso,21
55,Antisciana,Petrognano,15
56,Antisciana,Petrognola,15
57,Antisciana,Piazza al Serchio,15
58,Antisciana,Ponte all'Ania,19
59,Antisciana,San Donnino,15
60,Antisciana,San Michele,17
61,Antisciana,San Pietro in Campo,17
62,Antisciana,San Romano in Garfagnana,17
63,Antisciana,Sant'Anastasio,17
64,Bagni di Lucca,Albiano,17
65,Bagni di Lucca,Antisciana,15
66,Bagni di Lucca,Borgo a Mozzano,20
67,Bagni di Lucca,Camporgiano,20
68,Bagni di Lucca,Castelnuovo di Garfagnana,20
69,Bagni di Lucca,Castelvecchio Pascoli,20
70,Bagni di Lucca,Cerretoli,15
71,Bagni di Lucca,Colle,15
72,Bagni di Lucca,Colognola,20
73,Bagni di Lucca,Cortia,20
74,Bagni di Lucca,Filecchio,20
75,Bagni di Lucca,Fornaci di Barga,20
76,Bagni di Lucca,Fosciandora,18
77,Bagni di Lucca,Gallicano,20
78,Bagni di Lucca,Gragnana,20
79,Bagni di Lucca,Gragnanella,15
80,Bagni di Lucca,Loppia,20
81,Bagni di Lucca,Lucca,19
82,Bagni di Lucca,Molazzana,15
83,Bagni di Lucca,Mologno,20
84,Bagni di Lucca,Monterotondo,15
85,Bagni di Lucca,Nicciano,20
86,Bagni di Lucca,Palleroso,15
87,Bagni di Lucca,Pescaglia,6
88,Bagni di Lucca,Petrognano,20
89,Bagni di Lucca,Petrognola,18
90,Bagni di Lucca,Piazza al Serchio,20
91,Bagni di Lucca,Ponte all'Ania,20
92,Bagni di Lucca,San Donnino,20
93,Bagni di Lucca,San Michele,20
94,Bagni di Lucca,San Pietro in Campo,20
95,Bagni di Lucca,San Romano in Garfagnana,20
96,Bagni di Lucca,Sant'Anastasio,20
97,Borgo a Mozzano,Albiano,17
98,Borgo a Mozzano,Antisciana,18
99,Borgo a Mozzano,Bagni di Lucca,21
100,Borgo a Mozzano,Camporgiano,21
101,Borgo a Mozzano,Castelnuovo di Garfagnana,21
102,Borgo a Mozzano,Castelvecchio Pascoli,21
103,Borgo a Mozzano,Cerretoli,18
104,Borgo a Mozzano,Colle,18
105,Borgo a Mozzano,Colognola,21
106,Borgo a Mozzano,Cortia,21
107,Borgo a Mozzano,Filecchio,20
108,Borgo a Mozzano,Fornaci di Barga,21
109,Borgo a Mozzano,Fosciandora,20
110,Borgo a Mozzano,Gallicano,21
111,Borgo a Mozzano,Gragnana,21
112,Borgo a Mozzano,Gragnanella,18
113,Borgo a Mozzano,Loppia,21
114,Borgo a Mozzano,Lucca,19
115,Borgo a Mozzano,Molazzana,17
116,Borgo a Mozzano,Mologno,21
117,Borgo a Mozzano,Monterotondo,17
118,Borgo a Mozzano,Nicciano,21
119,Borgo a Mozzano,Palleroso,18
120,Borgo a Mozzano,Petrognano,21
121,Borgo a Mozzano,Petrognola,20
122,Borgo a Mozzano,Piazza al Serchio,21
123,Borgo a Mozzano,Ponte all'Ania,21
124,Borgo a Mozzano,San Donnino,21
125,Borgo a Mozzano,San Michele,21
126,Borgo a Mozzano,San Pietro in Campo,21
127,Borgo a Mozzano,San Romano in Garfagnana,21
128,Borgo a Mozzano,Sant'Anastasio,21
129,Camporgiano,Albiano,16
130,Camporgiano,Antisciana,17
131,Camporgiano,Bagni di Lucca,21
132,Camporgiano,Borgo a Mozzano,21
133,Camporgiano,Castelnuovo di Garfagnana,21
134,Camporgiano,Castelvecchio Pascoli,21
135,Camporgiano,Cerretoli,17
136,Camporgiano,Colle,17
137,Camporgiano,Colognola,21
138,Camporgiano,Cortia,21
139,Camporgiano,Filecchio,21
140,Camporgiano,Fornaci di Barga,21
141,Camporgiano,Fosciandora,21
142,Camporgiano,Gallicano,21
143,Camporgiano,Gragnana,21
144,Camporgiano,Gragnanella,17
145,Camporgiano,Loppia,21
146,Camporgiano,Lucca,19
147,Camporgiano,Molazzana,15
148,Camporgiano,Mologno,21
149,Camporgiano,Monterotondo,17
150,Camporgiano,Nicciano,21
151,Camporgiano,Palleroso,17
152,Camporgiano,Petrognano,24
153,Camporgiano,Petrognola,18
154,Camporgiano,Piazza al Serchio,21
155,Camporgiano,Ponte all'Ania,21
156,Camporgiano,San Donnino,24
157,Camporgiano,San Michele,21
158,Camporgiano,San Pietro in Campo,21
159,Camporgiano,San Romano in Garfagnana,24
160,Camporgiano,Sant'Anastasio,21
161,Castelnuovo di Garfagnana,Albiano,16
162,Castelnuovo di Garfagnana,Antisciana,21
163,Castelnuovo di Garfagnana,Bagni di Lucca,21
164,Castelnuovo di Garfagnana,Borgo a Mozzano,21
165,Castelnuovo di Garfagnana,Camporgiano,21
166,Castelnuovo di Garfagnana,Castelvecchio Pascoli,21
167,Castelnuovo di Garfagnana,Cerretoli,21
168,Castelnuovo di Garfagnana,Colle,21
169,Castelnuovo di Garfagnana,Colognola,21
170,Castelnuovo di Garfagnana,Cortia,21
171,Castelnuovo di Garfagnana,Filecchio,21
172,Castelnuovo di Garfagnana,Fornaci di Barga,21
173,Castelnuovo di Garfagnana,Fosciandora,21
174,Castelnuovo di Garfagnana,Gallicano,21
175,Castelnuovo di Garfagnana,Gragnana,21
176,Castelnuovo di Garfagnana,Gragnanella,23
177,Castelnuovo di Garfagnana,Loppia,21
178,Castelnuovo di Garfagnana,Lucca,19
179,Castelnuovo di Garfagnana,Molazzana,15
180,Castelnuovo di Garfagnana,Mologno,21
181,Castelnuovo di Garfagnana,Monterotondo,21
182,Castelnuovo di Garfagnana,Nicciano,21
183,Castelnuovo di Garfagnana,Palleroso,21
184,Castelnuovo di Garfagnana,Petrognano,21
185,Castelnuovo di Garfagnana,Petrognola,18
186,Castelnuovo di Garfagnana,Piazza al Serchio,21
187,Castelnuovo di Garfagnana,Ponte all'Ania,21
188,Castelnuovo di Garfagnana,San Donnino,21
189,Castelnuovo di Garfagnana,San Michele,21
190,Castelnuovo di Garfagnana,San Pietro in Campo,21
191,Castelnuovo di Garfagnana,San Romano in Garfagnana,21
192,Castelnuovo di Garfagnana,Sant'Anastasio,21
193,Castelvecchio Pascoli,Albiano,17
194,Castelvecchio Pascoli,Antisciana,18
195,Castelvecchio Pascoli,Bagni di Lucca,20
196,Castelvecchio Pascoli,Borgo a Mozzano,21
197,Castelvecchio Pascoli,Camporgiano,21
198,Castelvecchio Pascoli,Castelnuovo di Garfagnana,21
199,Castelvecchio Pascoli,Castiglione di Garfagnana,6
200,Castelvecchio Pascoli,Cerretoli,18
201,Castelvecchio Pascoli,Colle,18
202,Castelvecchio Pascoli,Colognola,21
203,Castelvecchio Pascoli,Cortia,21
204,Castelvecchio Pascoli,Filecchio,15
205,Castelvecchio Pascoli,Fornaci di Barga,21
206,Castelvecchio Pascoli,Fosciandora,21
207,Castelvecchio Pascoli,Gallicano,23
208,Castelvecchio Pascoli,Gragnana,21
209,Castelvecchio Pascoli,Gragnanella,18
210,Castelvecchio Pascoli,Loppia,21
211,Castelvecchio Pascoli,Lucca,18
212,Castelvecchio Pascoli,Molazzana,15
213,Castelvecchio Pascoli,Mologno,23
214,Castelvecchio Pascoli,Monterotondo,21
215,Castelvecchio Pascoli,Nicciano,21
216,Castelvecchio Pascoli,Palleroso,20
217,Castelvecchio Pascoli,Petrognano,21
218,Castelvecchio Pascoli,Petrognola,18
219,Castelvecchio Pascoli,Piazza al Serchio,21
220,Castelvecchio Pascoli,Ponte all'Ania,21
221,Castelvecchio Pascoli,San Donnino,21
222,Castelvecchio Pascoli,San Michele,21
223,Castelvecchio Pascoli,San Pietro in Campo,23
224,Castelvecchio Pascoli,San Romano in Garfagnana,21
225,Castelvecchio Pascoli,Sant'Anastasio,21
226,Cerretoli,Albiano,10
227,Cerretoli,Bagni di Lucca,14
228,Cerretoli,Borgo a Mozzano,19
229,Cerretoli,Camporgiano,15
230,Cerretoli,Castelnuovo di Garfagnana,21
231,Cerretoli,Castelvecchio Pascoli,15
232,Cerretoli,Castiglione di Garfagnana,5
233,Cerretoli,Colle,21
234,Cerretoli,Colognola,17
235,Cerretoli,Cortia,17
236,Cerretoli,Filecchio,14
237,Cerretoli,Fornaci di Barga,19
238,Cerretoli,Fosciandora,19
239,Cerretoli,Gallicano,15
240,Cerretoli,Gragnana,17
241,Cerretoli,Loppia,19
242,Cerretoli,Lucca,14
243,Cerretoli,Molazzana,15
244,Cerretoli,Mologno,19
245,Cerretoli,Monterotondo,21
246,Cerretoli,Nicciano,17
247,Cerretoli,Palleroso,15
248,Cerretoli,Petrognano,15
249,Cerretoli,Petrognola,15
250,Cerretoli,Piazza al Serchio,17
251,Cerretoli,Ponte all'Ania,19
252,Cerretoli,San Donnino,17
253,Cerretoli,San Michele,17
254,Cerretoli,San Pietro in Campo,17
255,Cerretoli,San Romano in Garfagnana,17
256,Cerretoli,Sant'Anastasio,17
257,Cerretoli,Villa Collemandina,5
258,Colle,Albiano,12
259,Colle,Bagni di Lucca,14
260,Colle,Borgo a Mozzano,19
261,Colle,Camporgiano,15
262,Colle,Castelnuovo di Garfagnana,21
263,Colle,Castelvecchio Pascoli,17
264,Colle,Castiglione di Garfagnana,5
265,Colle,Cerretoli,21
266,Colle,Colognola,17
267,Colle,Cortia,17
268,Colle,Filecchio,14
269,Colle,Fornaci di Barga,19
270,Colle,Fosciandora,19
271,Colle,Gallicano,15
272,Colle,Gragnana,17
273,Colle,Loppia,19
274,Colle,Lucca,14
275,Colle,Molazzana,15
276,Colle,Mologno,19
277,Colle,Monterotondo,15
278,Colle,Nicciano,17
279,Colle,Palleroso,15
280,Colle,Petrognano,15
281,Colle,Petrognola,15
282,Colle,Piazza al Serchio,17
283,Colle,Ponte all'Ania,19
284,Colle,San Donnino,17
285,Colle,San Michele,17
286,Colle,San Pietro in Campo,19
287,Colle,San Romano in Garfagnana,17
288,Colle,Sant'Anastasio,17
289,Colle,Villa Collemandina,5
290,Colognola,Albiano,16
291,Colognola,Antisciana,16
292,Colognola,Bagni di Lucca,20
293,Colognola,Borgo a Mozzano,21
294,Colognola,Camporgiano,21
295,Colognola,Castelnuovo di Garfagnana,21
296,Colognola,Castelvecchio Pascoli,21
297,Colognola,Cerretoli,16
298,Colognola,Colle,16
299,Colognola,Cortia,23
300,Colognola,Filecchio,20
301,Colognola,Fornaci di Barga,21
302,Colognola,Fosciandora,21
303,Colognola,Gallicano,21
304,Colognola,Gragnana,23
305,Colognola,Gragnanella,16
306,Colognola,Loppia,21
307,Colognola,Lucca,19
308,Colognola,Molazzana,15
309,Colognola,Mologno,21
310,Colognola,Monterotondo,16
311,Colognola,Nicciano,23
312,Colognola,Palleroso,16
313,Colognola,Petrognano,23
314,Colognola,Petrognola,21
315,Colognola,Piazza al Serchio,23
316,Colognola,Ponte all'Ania,21
317,Colognola,San Donnino,23
318,Colognola,San Michele,23
319,Colognola,San Pietro in Campo,21
320,Colognola,San Romano in Garfagnana,21
321,Colognola,Sant'Anastasio,23
322,Colognola,Villa Collemandina,6
323,Cortia,Albiano,16
324,Cortia,Antisciana,17
325,Cortia,Bagni di Lucca,20
326,Cortia,Borgo a Mozzano,21
327,Cortia,Camporgiano,21
328,Cortia,Castelnuovo di Garfagnana,21
329,Cortia,Castelvecchio Pascoli,21
330,Cortia,Cerretoli,17
331,Cortia,Colle,17
332,Cortia,Colognola,24
333,Cortia,Fabbriche di Vergemoli,1
334,Cortia,Filecchio,20
335,Cortia,Fornaci di Barga,20
336,Cortia,Fosciandora,21
337,Cortia,Gallicano,21
338,Cortia,Gragnana,24
339,Cortia,Gragnanella,17
340,Cortia,Loppia,21
341,Cortia,Lucca,19
342,Cortia,Molazzana,15
343,Cortia,Mologno,21
344,Cortia,Monterotondo,17
345,Cortia,Nicciano,24
346,Cortia,Palleroso,17
347,Cortia,Pescaglia,1
348,Cortia,Petrognano,24
349,Cortia,Petrognola,24
350,Cortia,Piazza al Serchio,24
351,Cortia,Ponte all'Ania,21
352,Cortia,San Donnino,24
353,Cortia,San Michele,24
354,Cortia,San Pietro in Campo,20
355,Cortia,San Romano in Garfagnana,20
356,Cortia,Sant'Anastasio,24
357,Cortia,Villa Collemandina,5
358,Filecchio,Albiano,20
359,Filecchio,Antisciana,16
360,Filecchio,Bagni di Lucca,18
361,Filecchio,Barga,5
362,Filecchio,Borgo a Mozzano,18
363,Filecchio,Camporgiano,20
364,Filecchio,Castelnuovo di Garfagnana,20
365,Filecchio,Castelvecchio Pascoli,20
366,Filecchio,Cerretoli,16
367,Filecchio,Colle,16
368,Filecchio,Colognola,20
369,Filecchio,Cortia,20
370,Filecchio,Fornaci di Barga,20
371,Filecchio,Fosciandora,18
372,Filecchio,Gallicano,20
373,Filecchio,Gragnana,20
374,Filecchio,Gragnanella,16
375,Filecchio,Lucca,18
376,Filecchio,Molazzana,10
377,Filecchio,Mologno,20
378,Filecchio,Monterotondo,13
379,Filecchio,Nicciano,20
380,Filecchio,Palleroso,8
381,Filecchio,Petrognano,20
382,Filecchio,Petrognola,16
383,Filecchio,Piazza al Serchio,20
384,Filecchio,Ponte all'Ania,20
385,Filecchio,San Donnino,20
386,Filecchio,San Michele,20
387,Filecchio,San Pietro in Campo,20
388,Filecchio,San Romano in Garfagnana,20
389,Filecchio,Sant'Anastasio,20
390,Fornaci di Barga,Albiano,21
391,Fornaci di Barga,Antisciana,18
392,Fornaci di Barga,Bagni di Lucca,19
393,Fornaci di Barga,Borgo a Mozzano,21
394,Fornaci di Barga,Camporgiano,21
395,Fornaci di Barga,Castelnuovo di Garfagnana,21
396,Fornaci di Barga,Castelvecchio Pascoli,21
397,Fornaci di Barga,Cerretoli,18
398,Fornaci di Barga,Colle,18
399,Fornaci di Barga,Colognola,21
400,Fornaci di Barga,Cortia,21
401,Fornaci di Barga,Filecchio,20
402,Fornaci di Barga,Fosciandora,20
403,Fornaci di Barga,Gallicano,21
404,Fornaci di Barga,Gragnana,21
405,Fornaci di Barga,Gragnanella,18
406,Fornaci di Barga,Loppia,22
407,Fornaci di Barga,Lucca,19
408,Fornaci di Barga,Molazzana,17
409,Fornaci di Barga,Mologno,21
410,Fornaci di Barga,Monterotondo,20
411,Fornaci di Barga,Nicciano,21
412,Fornaci di Barga,Palleroso,21
413,Fornaci di Barga,Petrognano,21
414,Fornaci di Barga,Petrognola,21
415,Fornaci di Barga,Piazza al Serchio,21
416,Fornaci di Barga,Ponte all'Ania,22
417,Fornaci di Barga,San Donnino,21
418,Fornaci di Barga,San Michele,21
419,Fornaci di Barga,San Pietro in Campo,21
420,Fornaci di Barga,San Romano in Garfagnana,21
421,Fornaci di Barga,Sant'Anastasio,21
422,Fosciandora,Albiano,16
423,Fosciandora,Antisciana,18
424,Fosciandora,Bagni di Lucca,18
425,Fosciandora,Borgo a Mozzano,21
426,Fosciandora,Camporgiano,18
427,Fosciandora,Castelnuovo di Garfagnana,21
428,Fosciandora,Castelvecchio Pascoli,21
429,Fosciandora,Castiglione di Garfagnana,10
430,Fosciandora,Cerretoli,15
431,Fosciandora,Colle,15
432,Fosciandora,Colognola,18
433,Fosciandora,Cortia,18
434,Fosciandora,Filecchio,18
435,Fosciandora,Fornaci di Barga,21
436,Fosciandora,Gallicano,21
437,Fosciandora,Gragnana,18
438,Fosciandora,Gragnanella,18
439,Fosciandora,Loppia,21
440,Fosciandora,Lucca,16
441,Fosciandora,Molazzana,15
442,Fosciandora,Mologno,21
443,Fosciandora,Monterotondo,21
444,Fosciandora,Nicciano,18
445,Fosciandora,Palleroso,18
446,Fosciandora,Petrognano,17
