service_id,date,exception_type
"4493_482224","20230913","1"
"4493_482224","20230914","1"
"4493_482224","20230915","1"
"4493_482224","20230916","1"
"4493_482224","20230918","1"
"4493_482224","20230919","1"
"4493_482224","20230920","1"
"4493_482224","20230921","1"
"4493_482224","20230922","1"
"4493_482224","20230923","1"
"4493_482224","20230925","1"
"4493_482224","20230926","1"
"4493_482224","20230927","1"
"4493_482224","20230928","1"
"4493_482224","20230929","1"
"4493_482224","20230930","1"
"4493_482224","20231002","1"
"4493_482224","20231003","1"
"4493_482224","20231004","1"
"4493_482224","20231005","1"
"4493_482224","20231006","1"
"4493_482224","20231007","1"
"4493_482224","20231009","1"
"4493_482224","20231010","1"
"4493_482224","20231011","1"
"4493_482224","20231012","1"
"4493_482224","20231013","1"
"4493_482224","20231014","1"
"4493_482224","20231016","1"
"4493_482224","20231017","1"
"4493_482224","20231018","1"
"4493_482224","20231019","1"
"4493_482224","20231020","1"
"4493_482224","20231021","1"
"4493_482224","20231023","1"
"4493_482224","20231024","1"
"4493_482224","20231025","1"
"4493_482224","20231026","1"
"4493_482224","20231027","1"
"4493_482224","20231028","1"
"4493_482224","20231030","1"
"4493_482224","20231031","1"
"4493_482224","20231102","1"
"4493_482224","20231103","1"
"4493_482224","20231104","1"
"4493_482224","20231106","1"
"4493_482224","20231107","1"
"4493_482224","20231108","1"
"4493_482224","20231109","1"
"4493_482224","20231110","1"
"4493_482224","20231111","1"
"4493_482224","20231113","1"
"4493_482224","20231114","1"
"4493_482224","20231115","1"
"4493_482224","20231116","1"
"4493_482224","20231117","1"
"4493_482224","20231118","1"
"4493_482224","20231120","1"
"4493_482224","20231121","1"
"4493_482224","20231122","1"
"4493_482224","20231123","1"
"4493_482224","20231124","1"
"4493_482224","20231125","1"
"4493_482224","20231127","1"
"4493_482224","20231128","1"
"4493_482224","20231129","1"
"4493_482224","20231130","1"
"4493_482224","20231201","1"
"4493_482224","20231202","1"
"4493_482224","20231204","1"
"4493_482224","20231205","1"
"4493_482224","20231206","1"
"4493_482224","20231207","1"
"4493_482224","20231209","1"
"4493_482224","20231211","1"
"4493_482224","20231212","1"
"4493_482224","20231213","1"
"4493_482224","20231214","1"
"4493_482224","20231215","1"
"4493_482224","20231216","1"
"4493_482224","20231218","1"
"4493_482224","20231219","1"
"4493_482224","20231220","1"
"4493_482224","20231221","1"
"4493_482224","20231222","1"
"4493_482224","20231223","1"
"4493_482224","20231227","1"
"4493_482224","20231228","1"
"4493_482224","20231229","1"
"4493_482224","20231230","1"
"4493_482225","20230915","1"
"4493_482225","20230916","1"
"4493_482225","20230918","1"
"4493_482225","20230919","1"
"4493_482225","20230920","1"
"4493_482225","20230921","1"
"4493_482225","20230922","1"
"4493_482225","20230923","1"
"4493_482225","20230925","1"
"4493_482225","20230926","1"
"4493_482225","20230927","1"
"4493_482225","20230928","1"
"4493_482225","20230929","1"
"4493_482225","20230930","1"
"4493_482225","20231002","1"
"4493_482225","20231003","1"
"4493_482225","20231004","1"
"4493_482225","20231005","1"
"4493_482225","20231006","1"
"4493_482225","20231007","1"
"4493_482225","20231009","1"
"4493_482225","20231010","1"
"4493_482225","20231011","1"
"4493_482225","20231012","1"
"4493_482225","20231013","1"
"4493_482225","20231014","1"
"4493_482225","20231016","1"
"4493_482225","20231017","1"
"4493_482225","20231018","1"
"4493_482225","20231019","1"
"4493_482225","20231020","1"
"4493_482225","20231021","1"
"4493_482225","20231023","1"
"4493_482225","20231024","1"
"4493_482225","20231025","1"
"4493_482225","20231026","1"
"4493_482225","20231027","1"
"4493_482225","20231028","1"
"4493_482225","20231030","1"
"4493_482225","20231031","1"
"4493_482225","20231102","1"
"4493_482225","20231103","1"
"4493_482225","20231104","1"
"4493_482225","20231106","1"
"4493_482225","20231107","1"
"4493_482225","20231108","1"
"4493_482225","20231109","1"
"4493_482225","20231110","1"
"4493_482225","20231111","1"
"4493_482225","20231113","1"
"4493_482225","20231114","1"
"4493_482225","20231115","1"
"4493_482225","20231116","1"
"4493_482225","20231117","1"
"4493_482225","20231118","1"
"4493_482225","20231120","1"
"4493_482225","20231121","1"
"4493_482225","20231122","1"
"4493_482225","20231123","1"
"4493_482225","20231124","1"
"4493_482225","20231125","1"
"4493_482225","20231127","1"
"4493_482225","20231128","1"
"4493_482225","20231129","1"
"4493_482225","20231130","1"
"4493_482225","20231201","1"
"4493_482225","20231202","1"
"4493_482225","20231204","1"
"4493_482225","20231205","1"
"4493_482225","20231206","1"
"4493_482225","20231207","1"
"4493_482225","20231209","1"
"4493_482225","20231211","1"
"4493_482225","20231212","1"
"4493_482225","20231213","1"
"4493_482225","20231214","1"
"4493_482225","20231215","1"
"4493_482225","20231216","1"
"4493_482225","20231218","1"
"4493_482225","20231219","1"
"4493_482225","20231220","1"
"4493_482225","20231221","1"
"4493_482225","20231222","1"
"4493_482225","20231223","1"
"4493_482226","20231103","1"
"4493_482226","20231104","1"
"4493_482227","20231101","1"
"4493_482227","20231105","1"
"4493_482228","20230917","1"
"4493_482228","20230924","1"
"4493_482228","20231001","1"
"4493_482228","20231008","1"
"4493_482228","20231015","1"
"4493_482228","20231022","1"
"4493_482228","20231029","1"
"4493_482228","20231112","1"
"4493_482228","20231119","1"
"4493_482228","20231126","1"
"4493_482228","20231203","1"
"4493_482228","20231208","1"
"4493_482228","20231210","1"
"4493_482228","20231217","1"
"4493_482228","20231224","1"
"4493_482228","20231226","1"
"4493_482228","20231231","1"
"4493_482229","20230913","1"
"4493_482229","20230914","1"
"4493_482229","20230915","1"
"4493_482229","20230916","1"
"4493_482229","20230918","1"
"4493_482229","20230919","1"
"4493_482229","20230920","1"
"4493_482229","20230921","1"
"4493_482229","20230922","1"
"4493_482229","20230923","1"
"4493_482229","20230925","1"
"4493_482229","20230926","1"
"4493_482229","20230927","1"
"4493_482229","20230928","1"
"4493_482229","20230929","1"
"4493_482229","20230930","1"
"4493_482229","20231002","1"
"4493_482229","20231003","1"
"4493_482229","20231004","1"
"4493_482229","20231005","1"
"4493_482229","20231006","1"
"4493_482229","20231007","1"
"4493_482229","20231009","1"
"4493_482229","20231010","1"
"4493_482229","20231011","1"
"4493_482229","20231012","1"
"4493_482229","20231013","1"
"4493_482229","20231014","1"
"4493_482229","20231016","1"
"4493_482229","20231017","1"
"4493_482229","20231018","1"
"4493_482229","20231019","1"
"4493_482229","20231020","1"
"4493_482229","20231021","1"
"4493_482229","20231023","1"
"4493_482229","20231024","1"
"4493_482229","20231025","1"
"4493_482229","20231026","1"
"4493_482229","20231027","1"
"4493_482229","20231028","1"
"4493_482229","20231030","1"
"4493_482229","20231031","1"
"4493_482229","20231102","1"
"4493_482229","20231106","1"
"4493_482229","20231107","1"
"4493_482229","20231108","1"
"4493_482229","20231109","1"
"4493_482229","20231110","1"
"4493_482229","20231111","1"
"4493_482229","20231113","1"
"4493_482229","20231114","1"
"4493_482229","20231115","1"
"4493_482229","20231116","1"
"4493_482229","20231117","1"
"4493_482229","20231118","1"
"4493_482229","20231120","1"
"4493_482229","20231121","1"
"4493_482229","20231122","1"
"4493_482229","20231123","1"
"4493_482229","20231124","1"
"4493_482229","20231125","1"
"4493_482229","20231127","1"
"4493_482229","20231128","1"
"4493_482229","20231129","1"
"4493_482229","20231130","1"
"4493_482229","20231201","1"
"4493_482229","20231202","1"
"4493_482229","20231204","1"
"4493_482229","20231205","1"
"4493_482229","20231206","1"
"4493_482229","20231207","1"
"4493_482229","20231209","1"
"4493_482229","20231211","1"
"4493_482229","20231212","1"
"4493_482229","20231213","1"
"4493_482229","20231214","1"
"4493_482229","20231215","1"
"4493_482229","20231216","1"
"4493_482229","20231218","1"
"4493_482229","20231219","1"
"4493_482229","20231220","1"
"4493_482229","20231221","1"
"4493_482229","20231222","1"
"4493_482229","20231223","1"
"4493_482229","20231227","1"
"4493_482229","20231228","1"
"4493_482229","20231229","1"
"4493_482229","20231230","1"
"4493_482230","20230915","1"
"4493_482230","20230916","1"
"4493_482230","20230918","1"
"4493_482230","20230919","1"
"4493_482230","20230920","1"
"4493_482230","20230921","1"
"4493_482230","20230922","1"
"4493_482230","20230923","1"
"4493_482230","20230925","1"
"4493_482230","20230926","1"
"4493_482230","20230927","1"
