fromPlaceName,toPlaceName,date,duration,0-30,30-60,60-120,120+
Camporgiano,Careggine,10-10-2023,68,1,1,1,0
Camporgiano,Careggine,10-10-2023,68,1,1,1,0
Camporgiano,Careggine,10-10-2023,68,1,1,1,0
Camporgiano,Careggine,10-10-2023,68,1,1,1,0
Camporgiano,Careggine,10-10-2023,68,1,1,1,0
Camporgiano,Careggine,10-10-2023,74,1,1,1,0
Camporgiano,Careggine,10-10-2023,109,1,1,1,0
Camporgiano,Careggine,10-10-2023,81,1,1,1,0
Camporgiano,Careggine,10-10-2023,81,1,1,1,0
Camporgiano,Careggine,10-10-2023,81,1,1,1,0
Camporgiano,Careggine,10-10-2023,81,1,1,1,0
Camporgiano,Careggine,10-10-2023,81,1,1,1,0
Camporgiano,Careggine,10-10-2023,74,1,1,1,0
Camporgiano,Careggine,10-10-2023,74,1,1,1,0
Camporgiano,Careggine,10-10-2023,74,1,1,1,0
Camporgiano,Careggine,07-09-2023,117,1,1,1,0
Camporgiano,Careggine,07-09-2023,117,1,1,1,0
Camporgiano,Careggine,07-09-2023,117,1,1,1,0
Camporgiano,Careggine,07-09-2023,117,1,1,1,0
Camporgiano,Careggine,07-09-2023,117,1,1,1,0
Camporgiano,Careggine,07-09-2023,117,1,1,1,0
Camporgiano,Careggine,07-09-2023,117,1,1,1,0
Camporgiano,Careggine,07-09-2023,117,1,1,1,0
Camporgiano,Careggine,07-09-2023,117,1,1,1,0
Camporgiano,Careggine,07-09-2023,117,1,1,1,0
Camporgiano,Careggine,07-09-2023,117,1,1,1,0
Camporgiano,Careggine,07-09-2023,117,1,1,1,0
Camporgiano,Careggine,07-09-2023,117,1,1,1,0
Camporgiano,Careggine,07-09-2023,117,1,1,1,0
Camporgiano,Careggine,07-09-2023,117,1,1,1,0
Camporgiano,Careggine,07-09-2023,117,1,1,1,0
Camporgiano,Careggine,07-09-2023,117,1,1,1,0
Camporgiano,Careggine,07-09-2023,117,1,1,1,0
Camporgiano,Careggine,07-09-2023,117,1,1,1,0
Camporgiano,Careggine,07-09-2023,117,1,1,1,0
Camporgiano,Careggine,07-09-2023,117,1,1,1,0
Camporgiano,Careggine,07-09-2023,117,1,1,1,0
