fromPlaceName,toPlaceName,date,duration,0-30,30-60,60-120,120+
Camporgiano,Castelnuovo di Garfagnana,10-01-2024,23,1,1,1,1
Camporgiano,Castelnuovo di Garfagnana,10-01-2024,21,1,1,1,1
Camporgiano,Castelnuovo di Garfagnana,10-10-2024,23,1,1,1,1
Camporgiano,Castelnuovo di Garfagnana,10-10-2024,21,1,1,1,1
Camporgiano,Castelnuovo di Garfagnana,07-09-2024,23,1,1,1,1
Camporgiano,Castelnuovo di Garfagnana,07-09-2024,35,0,1,1,1
Camporgiano,Castelnuovo di Garfagnana,07-09-2024,21,1,1,1,1
Camporgiano,Castelnuovo di Garfagnana,07-09-2024,20,1,1,1,1
Camporgiano,Castelnuovo di Garfagnana,07-05-2024,23,1,1,1,1
Camporgiano,Castelnuovo di Garfagnana,07-05-2024,35,0,1,1,1
Camporgiano,Castelnuovo di Garfagnana,07-05-2024,21,1,1,1,1
Camporgiano,Castelnuovo di Garfagnana,07-05-2024,20,1,1,1,1
Camporgiano,Castiglione di Garfagnana,10-01-2024,43,0,1,1,1
Camporgiano,Castiglione di Garfagnana,10-01-2024,54,0,1,1,1
Camporgiano,Castiglione di Garfagnana,10-10-2024,43,0,1,1,1
Camporgiano,Castiglione di Garfagnana,10-10-2024,54,0,1,1,1
Camporgiano,Castiglione di Garfagnana,07-09-2024,48,0,1,1,1
Camporgiano,Castiglione di Garfagnana,07-09-2024,110,0,0,1,1
Camporgiano,Castiglione di Garfagnana,07-09-2024,59,0,1,1,1
Camporgiano,Castiglione di Garfagnana,07-09-2024,69,0,0,1,1
Camporgiano,Castiglione di Garfagnana,07-05-2024,48,0,1,1,1
Camporgiano,Castiglione di Garfagnana,07-05-2024,110,0,0,1,1
Camporgiano,Castiglione di Garfagnana,07-05-2024,59,0,1,1,1
Camporgiano,Castiglione di Garfagnana,07-05-2024,69,0,0,1,1
Camporgiano,Fabbriche di Vergemoli,10-01-2024,93,0,0,1,1
Camporgiano,Fabbriche di Vergemoli,10-01-2024,141,0,0,0,1
Camporgiano,Fabbriche di Vergemoli,10-01-2024,235,0,0,0,1
Camporgiano,Fabbriche di Vergemoli,10-01-2024,161,0,0,0,1
Camporgiano,Fabbriche di Vergemoli,10-01-2024,166,0,0,0,1
Camporgiano,Fabbriche di Vergemoli,10-10-2024,93,0,0,1,1
Camporgiano,Fabbriche di Vergemoli,10-10-2024,134,0,0,0,1
Camporgiano,Fabbriche di Vergemoli,10-10-2024,141,0,0,0,1
Camporgiano,Fabbriche di Vergemoli,10-10-2024,235,0,0,0,1
Camporgiano,Fabbriche di Vergemoli,10-10-2024,161,0,0,0,1
