,fromPlaceName,toPlaceName,date,duration,interval
36,Camporgiano,Careggine,10-04-2023,109,60-120
114,Camporgiano,Castelnuovo di Garfagnana,10-01-2023,36,30-60
155,Camporgiano,Castelnuovo di Garfagnana,09-07-2023,37,30-60
234,Camporgiano,Castiglione di Garfagnana,10-04-2023,72,60-120
235,Camporgiano,Castiglione di Garfagnana,10-04-2023,54,30-60
402,Camporgiano,Fosciandora,10-01-2023,54,30-60
426,Camporgiano,Fosciandora,10-04-2023,68,60-120
512,Camporgiano,Gallicano,10-04-2023,54,30-60
541,Camporgiano,Gallicano,09-07-2023,56,30-60
542,Camporgiano,Gallicano,09-07-2023,55,30-60
600,Camporgiano,Minucciano,10-04-2023,78,60-120
613,Camporgiano,Minucciano,10-04-2023,60,60-120
704,Camporgiano,Molazzana,10-04-2023,120,120+
713,Camporgiano,Molazzana,10-04-2023,88,60-120
714,Camporgiano,Molazzana,10-04-2023,89,60-120
1002,Camporgiano,San Romano in Garfagnana,10-04-2023,36,30-60
1003,Camporgiano,San Romano in Garfagnana,10-04-2023,35,30-60
1099,Camporgiano,Sillano Giuncugnano,10-04-2023,66,60-120
1100,Camporgiano,Sillano Giuncugnano,10-04-2023,54,30-60
1194,Camporgiano,Villa Collemandina,10-04-2023,104,60-120
1195,Camporgiano,Villa Collemandina,10-04-2023,85,60-120
1284,Camporgiano,Bagni di Lucca,10-04-2023,81,60-120
1307,Camporgiano,Bagni di Lucca,09-07-2023,77,60-120
1309,Camporgiano,Bagni di Lucca,09-07-2023,79,60-120
1310,Camporgiano,Bagni di Lucca,09-07-2023,76,60-120
1370,Camporgiano,Barga,10-04-2023,61,60-120
1381,Camporgiano,Barga,10-04-2023,59,30-60
1458,Camporgiano,Borgo a Mozzano,10-01-2023,66,60-120
1475,Camporgiano,Borgo a Mozzano,10-04-2023,64,60-120
1499,Camporgiano,Borgo a Mozzano,09-07-2023,64,60-120
1501,Camporgiano,Borgo a Mozzano,09-07-2023,65,60-120
1672,Camporgiano,Pescaglia,10-04-2023,206,120+
1764,Camporgiano,Lucca,10-04-2023,109,60-120
1765,Camporgiano,Lucca,10-04-2023,97,60-120
1778,Camporgiano,Lucca,09-07-2023,95,60-120
1789,Camporgiano,Lucca,09-07-2023,97,60-120
2250,Careggine,Fosciandora,10-04-2023,89,60-120
2346,Careggine,Gallicano,10-04-2023,70,60-120
2442,Careggine,Minucciano,10-04-2023,359,120+
2533,Careggine,Molazzana,10-04-2023,105,60-120
2634,Careggine,Piazza al Serchio,10-04-2023,136,120+
2826,Careggine,San Romano in Garfagnana,10-04-2023,126,120+
2922,Careggine,Sillano Giuncugnano,10-04-2023,368,120+
3114,Careggine,Bagni di Lucca,10-04-2023,136,120+
3210,Careggine,Barga,10-04-2023,108,60-120
3306,Careggine,Borgo a Mozzano,10-04-2023,123,120+
3594,Careggine,Lucca,10-04-2023,149,120+
3690,Castelnuovo di Garfagnana,Camporgiano,10-04-2023,35,30-60
3880,Castelnuovo di Garfagnana,Castiglione di Garfagnana,10-04-2023,48,30-60
3883,Castelnuovo di Garfagnana,Castiglione di Garfagnana,10-04-2023,30,30-60
3960,Castelnuovo di Garfagnana,Fabbriche di Vergemoli,10-04-2023,82,60-120
4130,Castelnuovo di Garfagnana,Gallicano,10-01-2023,48,30-60
4146,Castelnuovo di Garfagnana,Gallicano,10-01-2023,49,30-60
4160,Castelnuovo di Garfagnana,Gallicano,10-04-2023,45,30-60
4165,Castelnuovo di Garfagnana,Gallicano,10-04-2023,32,30-60
4266,Castelnuovo di Garfagnana,Minucciano,10-04-2023,162,120+
4347,Castelnuovo di Garfagnana,Molazzana,10-04-2023,61,60-120
4352,Castelnuovo di Garfagnana,Molazzana,10-04-2023,85,60-120
4434,Castelnuovo di Garfagnana,Piazza al Serchio,10-01-2023,40,30-60
4650,Castelnuovo di Garfagnana,San Romano in Garfagnana,10-04-2023,38,30-60
4728,Castelnuovo di Garfagnana,Sillano Giuncugnano,10-04-2023,68,60-120
4746,Castelnuovo di Garfagnana,Sillano Giuncugnano,10-04-2023,84,60-120
4847,Castelnuovo di Garfagnana,Villa Collemandina,10-04-2023,69,60-120
4898,Castelnuovo di Garfagnana,Bagni di Lucca,10-01-2023,69,60-120
4946,Castelnuovo di Garfagnana,Bagni di Lucca,09-07-2023,68,60-120
5029,Castelnuovo di Garfagnana,Barga,10-04-2023,54,30-60
5090,Castelnuovo di Garfagnana,Borgo a Mozzano,10-01-2023,55,30-60
5131,Castelnuovo di Garfagnana,Borgo a Mozzano,10-04-2023,56,30-60
5155,Castelnuovo di Garfagnana,Borgo a Mozzano,09-07-2023,56,30-60
5320,Castelnuovo di Garfagnana,Pescaglia,10-04-2023,188,120+
5402,Castelnuovo di Garfagnana,Lucca,10-04-2023,84,60-120
5414,Castelnuovo di Garfagnana,Lucca,10-04-2023,87,60-120
5426,Castelnuovo di Garfagnana,Lucca,09-07-2023,84,60-120
5438,Castelnuovo di Garfagnana,Lucca,09-07-2023,87,60-120
5498,Castiglione di Garfagnana,Camporgiano,10-04-2023,82,60-120
5514,Castiglione di Garfagnana,Camporgiano,10-04-2023,58,30-60
5515,Castiglione di Garfagnana,Camporgiano,10-04-2023,73,60-120
5516,Castiglione di Garfagnana,Camporgiano,10-04-2023,53,30-60
5691,Castiglione di Garfagnana,Castelnuovo di Garfagnana,10-04-2023,48,30-60
5692,Castiglione di Garfagnana,Castelnuovo di Garfagnana,10-04-2023,59,30-60
5989,Castiglione di Garfagnana,Gallicano,10-04-2023,61,60-120
6073,Castiglione di Garfagnana,Minucciano,10-04-2023,153,120+
6090,Castiglione di Garfagnana,Minucciano,10-04-2023,185,120+
6091,Castiglione di Garfagnana,Minucciano,10-04-2023,148,120+
6181,Castiglione di Garfagnana,Molazzana,10-04-2023,102,60-120
6187,Castiglione di Garfagnana,Molazzana,10-04-2023,140,120+
6188,Castiglione di Garfagnana,Molazzana,10-04-2023,81,60-120
6282,Castiglione di Garfagnana,Piazza al Serchio,10-04-2023,65,60-120
6283,Castiglione di Garfagnana,Piazza al Serchio,10-04-2023,74,60-120
6284,Castiglione di Garfagnana,Piazza al Serchio,10-04-2023,57,30-60
6469,Castiglione di Garfagnana,San Romano in Garfagnana,10-04-2023,76,60-120
6475,Castiglione di Garfagnana,San Romano in Garfagnana,10-04-2023,59,30-60
6570,Castiglione di Garfagnana,Sillano Giuncugnano,10-04-2023,106,60-120
6571,Castiglione di Garfagnana,Sillano Giuncugnano,10-04-2023,92,60-120
6666,Castiglione di Garfagnana,Villa Collemandina,10-04-2023,13,0-30
6748,Castiglione di Garfagnana,Bagni di Lucca,10-04-2023,127,120+
6764,Castiglione di Garfagnana,Bagni di Lucca,10-04-2023,85,60-120
6853,Castiglione di Garfagnana,Barga,10-04-2023,73,60-120
6860,Castiglione di Garfagnana,Barga,10-04-2023,60,60-120
6937,Castiglione di Garfagnana,Borgo a Mozzano,10-04-2023,86,60-120
6940,Castiglione di Garfagnana,Borgo a Mozzano,10-04-2023,114,60-120
6949,Castiglione di Garfagnana,Borgo a Mozzano,10-04-2023,83,60-120
6950,Castiglione di Garfagnana,Borgo a Mozzano,10-04-2023,77,60-120
7237,Castiglione di Garfagnana,Lucca,10-04-2023,111,60-120
7238,Castiglione di Garfagnana,Lucca,10-04-2023,109,60-120
7244,Castiglione di Garfagnana,Lucca,10-04-2023,106,60-120
8301,Fabbriche di Vergemoli,San Romano in Garfagnana,10-04-2023,203,120+
9069,Fabbriche di Vergemoli,Lucca,10-04-2023,124,120+
9124,Fosciandora,Camporgiano,10-01-2023,96,60-120
9146,Fosciandora,Camporgiano,10-04-2023,64,60-120
9348,Fosciandora,Castelnuovo di Garfagnana,10-04-2023,38,30-60
9433,Fosciandora,Castiglione di Garfagnana,10-04-2023,99,60-120
9528,Fosciandora,Fabbriche di Vergemoli,10-04-2023,99,60-120
9637,Fosciandora,Gallicano,10-04-2023,36,30-60
9737,Fosciandora,Minucciano,10-04-2023,113,60-120
9833,Fosciandora,Molazzana,10-04-2023,60,60-120
9834,Fosciandora,Molazzana,10-04-2023,73,60-120
9892,Fosciandora,Piazza al Serchio,10-01-2023,103,60-120
9914,Fosciandora,Piazza al Serchio,10-04-2023,68,60-120
9930,Fosciandora,Piazza al Serchio,10-04-2023,75,60-120
9931,Fosciandora,Piazza al Serchio,10-04-2023,81,60-120
9932,Fosciandora,Piazza al Serchio,10-04-2023,62,60-120
10084,Fosciandora,San Romano in Garfagnana,10-01-2023,126,120+
10113,Fosciandora,San Romano in Garfagnana,10-04-2023,90,60-120
10124,Fosciandora,San Romano in Garfagnana,10-04-2023,60,60-120
10201,Fosciandora,Sillano Giuncugnano,10-04-2023,98,60-120
10218,Fosciandora,Sillano Giuncugnano,10-04-2023,116,60-120
10219,Fosciandora,Sillano Giuncugnano,10-04-2023,178,120+
10392,Fosciandora,Bagni di Lucca,10-04-2023,88,60-120
10410,Fosciandora,Bagni di Lucca,10-04-2023,90,60-120
10501,Fosciandora,Barga,10-04-2023,60,60-120
10584,Fosciandora,Borgo a Mozzano,10-04-2023,72,60-120
10602,Fosciandora,Borgo a Mozzano,10-04-2023,69,60-120
10692,Fosciandora,Coreglia Antelminelli,10-04-2023,516,120+
10890,Fosciandora,Lucca,10-04-2023,99,60-120
10980,Gallicano,Camporgiano,10-04-2023,51,30-60
10988,Gallicano,Camporgiano,10-04-2023,48,30-60
11001,Gallicano,Camporgiano,09-07-2023,54,30-60
11005,Gallicano,Camporgiano,09-07-2023,60,60-120
11177,Gallicano,Castelnuovo di Garfagnana,10-04-2023,33,30-60
11193,Gallicano,Castelnuovo di Garfagnana,09-07-2023,50,30-60
11197,Gallicano,Castelnuovo di Garfagnana,09-07-2023,51,30-60
11257,Gallicano,Castiglione di Garfagnana,10-04-2023,87,60-120
11453,Gallicano,Fosciandora,10-04-2023,43,30-60
11460,Gallicano,Fosciandora,10-04-2023,49,30-60
11461,Gallicano,Fosciandora,10-04-2023,45,30-60
11555,Gallicano,Minucciano,10-04-2023,118,60-120
11556,Gallicano,Minucciano,10-04-2023,110,60-120
11645,Gallicano,Molazzana,10-04-2023,46,30-60
11646,Gallicano,Molazzana,10-04-2023,50,30-60
11659,Gallicano,Molazzana,10-04-2023,41,30-60
11712,Gallicano,Piazza al Serchio,10-01-2023,60,60-120
11741,Gallicano,Piazza al Serchio,10-04-2023,57,30-60
11745,Gallicano,Piazza al Serchio,10-04-2023,61,60-120
11748,Gallicano,Piazza al Serchio,10-04-2023,67,60-120
11765,Gallicano,Piazza al Serchio,09-07-2023,57,30-60
11769,Gallicano,Piazza al Serchio,09-07-2023,61,60-120
11947,Gallicano,San Romano in Garfagnana,10-04-2023,77,60-120
11948,Gallicano,San Romano in Garfagnana,10-04-2023,55,30-60
11961,Gallicano,San Romano in Garfagnana,09-07-2023,85,60-120
11965,Gallicano,San Romano in Garfagnana,09-07-2023,91,60-120
12042,Gallicano,Sillano Giuncugnano,10-04-2023,105,60-120
12043,Gallicano,Sillano Giuncugnano,10-04-2023,109,60-120
12204,Gallicano,Bagni di Lucca,10-01-2023,103,60-120
12213,Gallicano,Bagni di Lucca,10-01-2023,69,60-120
12221,Gallicano,Bagni di Lucca,10-04-2023,56,30-60
12224,Gallicano,Bagni di Lucca,10-04-2023,93,60-120
12228,Gallicano,Bagni di Lucca,10-04-2023,58,30-60
12234,Gallicano,Bagni di Lucca,10-04-2023,54,30-60
12235,Gallicano,Bagni di Lucca,10-04-2023,61,60-120
12236,Gallicano,Bagni di Lucca,10-04-2023,53,30-60
12317,Gallicano,Barga,10-04-2023,18,0-30
12427,Gallicano,Borgo a Mozzano,10-04-2023,47,30-60
12443,Gallicano,Borgo a Mozzano,09-07-2023,53,30-60
12693,Gallicano,Lucca,10-01-2023,87,60-120
12708,Gallicano,Lucca,10-04-2023,86,60-120
12714,Gallicano,Lucca,10-04-2023,71,60-120
12732,Gallicano,Lucca,09-07-2023,87,60-120
12733,Gallicano,Lucca,09-07-2023,83,60-120
12734,Gallicano,Lucca,09-07-2023,81,60-120
12996,Minucciano,Castelnuovo di Garfagnana,10-04-2023,83,60-120
12997,Minucciano,Castelnuovo di Garfagnana,10-04-2023,78,60-120
13082,Minucciano,Castiglione di Garfagnana,10-04-2023,155,120+
13289,Minucciano,Fosciandora,10-04-2023,127,120+
13290,Minucciano,Fosciandora,10-04-2023,170,120+
13481,Minucciano,Molazzana,10-04-2023,137,120+
13482,Minucciano,Molazzana,10-04-2023,227,120+
13572,Minucciano,Piazza al Serchio,10-04-2023,45,30-60
13579,Minucciano,Piazza al Serchio,10-04-2023,86,60-120
13580,Minucciano,Piazza al Serchio,10-04-2023,63,60-120
13946,Minucciano,Villa Collemandina,10-04-2023,145,120+
14138,Minucciano,Barga,10-04-2023,156,120+
14153,Minucciano,Barga,10-04-2023,107,60-120
14154,Minucciano,Barga,10-04-2023,124,120+
14244,Minucciano,Borgo a Mozzano,10-04-2023,115,60-120
14245,Minucciano,Borgo a Mozzano,10-04-2023,109,60-120
14532,Minucciano,Lucca,10-04-2023,144,120+
14533,Minucciano,Lucca,10-04-2023,142,120+
14539,Minucciano,Lucca,10-04-2023,177,120+
14540,Minucciano,Lucca,10-04-2023,174,120+
14595,Molazzana,Camporgiano,10-01-2023,102,60-120
14787,Molazzana,Castelnuovo di Garfagnana,10-01-2023,85,60-120
14905,Molazzana,Castiglione di Garfagnana,10-04-2023,103,60-120
14921,Molazzana,Castiglione di Garfagnana,10-04-2023,116,60-120
15212,Molazzana,Gallicano,10-04-2023,14,0-30
15300,Molazzana,Minucciano,10-04-2023,131,120+
15306,Molazzana,Minucciano,10-04-2023,252,120+
15363,Molazzana,Piazza al Serchio,10-01-2023,109,60-120
15492,Molazzana,Pieve Fosciana,10-04-2023,124,120+
15498,Molazzana,Pieve Fosciana,10-04-2023,178,120+
15555,Molazzana,San Romano in Garfagnana,10-01-2023,133,120+
15593,Molazzana,San Romano in Garfagnana,10-04-2023,100,60-120
15594,Molazzana,San Romano in Garfagnana,10-04-2023,113,60-120
15595,Molazzana,San Romano in Garfagnana,10-04-2023,93,60-120
15684,Molazzana,Sillano Giuncugnano,10-04-2023,137,120+
15690,Molazzana,Sillano Giuncugnano,10-04-2023,261,120+
15787,Molazzana,Villa Collemandina,10-04-2023,103,60-120
15856,Molazzana,Bagni di Lucca,10-01-2023,276,120+
15859,Molazzana,Bagni di Lucca,10-01-2023,154,120+
16032,Molazzana,Borgo a Mozzano,10-01-2023,113,60-120
16056,Molazzana,Borgo a Mozzano,10-04-2023,78,60-120
16336,Molazzana,Lucca,10-01-2023,284,120+
16339,Molazzana,Lucca,10-01-2023,148,120+
16356,Molazzana,Lucca,10-04-2023,111,60-120
16364,Molazzana,Lucca,10-04-2023,118,60-120
16367,Molazzana,Lucca,10-04-2023,124,120+
16476,Piazza al Serchio,Camporgiano,09-07-2023,18,0-30
16667,Piazza al Serchio,Castelnuovo di Garfagnana,09-07-2023,39,30-60
16740,Piazza al Serchio,Castiglione di Garfagnana,10-04-2023,82,60-120
16746,Piazza al Serchio,Castiglione di Garfagnana,10-04-2023,74,60-120
16747,Piazza al Serchio,Castiglione di Garfagnana,10-04-2023,69,60-120
16751,Piazza al Serchio,Castiglione di Garfagnana,10-04-2023,89,60-120
16842,Piazza al Serchio,Fabbriche di Vergemoli,10-04-2023,168,120+
16843,Piazza al Serchio,Fabbriche di Vergemoli,10-04-2023,108,60-120
16847,Piazza al Serchio,Fabbriche di Vergemoli,10-04-2023,251,120+
16938,Piazza al Serchio,Fosciandora,10-04-2023,67,60-120
16956,Piazza al Serchio,Fosciandora,09-07-2023,55,30-60
17009,Piazza al Serchio,Gallicano,10-01-2023,61,60-120
17112,Piazza al Serchio,Minucciano,10-04-2023,50,30-60
17209,Piazza al Serchio,Molazzana,10-04-2023,80,60-120
17210,Piazza al Serchio,Molazzana,10-04-2023,95,60-120
17224,Piazza al Serchio,Molazzana,10-04-2023,77,60-120
17225,Piazza al Serchio,Molazzana,10-04-2023,89,60-120
17226,Piazza al Serchio,Molazzana,10-04-2023,93,60-120
17227,Piazza al Serchio,Molazzana,10-04-2023,79,60-120
