,fromPlaceName,toPlaceName,date,duration,interval
37,Borgo a Mozzano,Coreglia Antelminelli,10-04-2023,458,120+
139,Borgo a Mozzano,Pescaglia,10-04-2023,79,60-120
228,Borgo a Mozzano,Lucca,10-04-2023,53,30-60
229,Borgo a Mozzano,Lucca,10-04-2023,49,30-60
252,Borgo a Mozzano,Lucca,09-07-2023,53,30-60
253,Borgo a Mozzano,Lucca,09-07-2023,52,30-60
331,Borgo a Mozzano,Camporgiano,10-04-2023,66,60-120
349,Borgo a Mozzano,Camporgiano,09-07-2023,73,60-120
355,Borgo a Mozzano,Camporgiano,09-07-2023,66,60-120
484,Borgo a Mozzano,Castelnuovo di Garfagnana,10-01-2023,54,30-60
498,Borgo a Mozzano,Castelnuovo di Garfagnana,10-01-2023,61,60-120
523,Borgo a Mozzano,Castelnuovo di Garfagnana,10-04-2023,61,60-120
524,Borgo a Mozzano,Castelnuovo di Garfagnana,10-04-2023,57,30-60
541,Borgo a Mozzano,Castelnuovo di Garfagnana,09-07-2023,64,60-120
547,Borgo a Mozzano,Castelnuovo di Garfagnana,09-07-2023,61,60-120
714,Borgo a Mozzano,Monterotondo,10-04-2023,72,60-120
796,Borgo a Mozzano,Antisciana,10-04-2023,81,60-120
810,Borgo a Mozzano,Antisciana,10-04-2023,76,60-120
811,Borgo a Mozzano,Antisciana,10-04-2023,83,60-120
812,Borgo a Mozzano,Antisciana,10-04-2023,63,60-120
890,Borgo a Mozzano,Gragnanella,10-04-2023,90,60-120
906,Borgo a Mozzano,Gragnanella,10-04-2023,91,60-120
907,Borgo a Mozzano,Gragnanella,10-04-2023,94,60-120
908,Borgo a Mozzano,Gragnanella,10-04-2023,68,60-120
988,Borgo a Mozzano,Cerretoli,10-04-2023,110,60-120
1002,Borgo a Mozzano,Cerretoli,10-04-2023,92,60-120
1003,Borgo a Mozzano,Cerretoli,10-04-2023,101,60-120
1084,Borgo a Mozzano,Colle,10-04-2023,110,60-120
1272,Borgo a Mozzano,Rontano,10-04-2023,121,120+
1369,Borgo a Mozzano,Castiglione di Garfagnana,10-04-2023,111,60-120
1372,Borgo a Mozzano,Castiglione di Garfagnana,10-04-2023,461,120+
1556,Borgo a Mozzano,Fosciandora,10-01-2023,91,60-120
1650,Borgo a Mozzano,Gallicano,10-01-2023,55,30-60
1693,Borgo a Mozzano,Gallicano,09-07-2023,54,30-60
1699,Borgo a Mozzano,Gallicano,09-07-2023,55,30-60
1700,Borgo a Mozzano,Gallicano,09-07-2023,50,30-60
1763,Borgo a Mozzano,Minucciano,10-04-2023,131,120+
1867,Borgo a Mozzano,Molazzana,10-04-2023,75,60-120
1929,Borgo a Mozzano,Piazza al Serchio,10-01-2023,78,60-120
1953,Borgo a Mozzano,Piazza al Serchio,10-04-2023,78,60-120
1957,Borgo a Mozzano,Piazza al Serchio,10-04-2023,76,60-120
1958,Borgo a Mozzano,Piazza al Serchio,10-04-2023,71,60-120
1964,Borgo a Mozzano,Piazza al Serchio,10-04-2023,69,60-120
1981,Borgo a Mozzano,Piazza al Serchio,09-07-2023,76,60-120
1982,Borgo a Mozzano,Piazza al Serchio,09-07-2023,71,60-120
1988,Borgo a Mozzano,Piazza al Serchio,09-07-2023,69,60-120
2041,Borgo a Mozzano,Borsigliana,10-04-2023,121,120+
2058,Borgo a Mozzano,Borsigliana,10-04-2023,95,60-120
2059,Borgo a Mozzano,Borsigliana,10-04-2023,133,120+
2137,Borgo a Mozzano,Cogna,10-04-2023,117,60-120
2217,Borgo a Mozzano,Colognola,10-01-2023,101,60-120
2241,Borgo a Mozzano,Colognola,10-04-2023,101,60-120
2252,Borgo a Mozzano,Colognola,10-04-2023,91,60-120
2269,Borgo a Mozzano,Colognola,09-07-2023,98,60-120
2270,Borgo a Mozzano,Colognola,09-07-2023,93,60-120
2276,Borgo a Mozzano,Colognola,09-07-2023,91,60-120
2313,Borgo a Mozzano,Cortia,10-01-2023,112,60-120
2337,Borgo a Mozzano,Cortia,10-04-2023,112,60-120
2341,Borgo a Mozzano,Cortia,10-04-2023,106,60-120
2365,Borgo a Mozzano,Cortia,09-07-2023,109,60-120
2366,Borgo a Mozzano,Cortia,09-07-2023,104,60-120
2372,Borgo a Mozzano,Cortia,09-07-2023,102,60-120
2409,Borgo a Mozzano,Gragnana,10-01-2023,109,60-120
2433,Borgo a Mozzano,Gragnana,10-04-2023,109,60-120
2444,Borgo a Mozzano,Gragnana,10-04-2023,99,60-120
2461,Borgo a Mozzano,Gragnana,09-07-2023,106,60-120
2462,Borgo a Mozzano,Gragnana,09-07-2023,101,60-120
2468,Borgo a Mozzano,Gragnana,09-07-2023,99,60-120
2521,Borgo a Mozzano,Livignano,10-04-2023,118,60-120
2538,Borgo a Mozzano,Livignano,10-04-2023,90,60-120
2539,Borgo a Mozzano,Livignano,10-04-2023,128,120+
2601,Borgo a Mozzano,Nicciano,10-01-2023,105,60-120
2625,Borgo a Mozzano,Nicciano,10-04-2023,105,60-120
