COMUNE,fromPlaceName,fromPlaceCord,toPlaceName,toPlaceCord,date,time,duration
Bagni di Lucca,Camporgiano,"44.15955695,10.3330076",Bagni di Lucca,"44.0089207,10.5743811",10-09-2024,1:00am,81
Bagni di Lucca,Camporgiano,"44.15955695,10.3330076",Bagni di Lucca,"44.0089207,10.5743811",10-09-2024,2:00am,66
Bagni di Lucca,Camporgiano,"44.15955695,10.3330076",Bagni di Lucca,"44.0089207,10.5743811",10-09-2024,3:00am,66
Bagni di Lucca,Camporgiano,"44.15955695,10.3330076",Bagni di Lucca,"44.0089207,10.5743811",10-09-2024,4:00am,66
Bagni di Lucca,Camporgiano,"44.15955695,10.3330076",Bagni di Lucca,"44.0089207,10.5743811",10-09-2024,5:00am,66
Bagni di Lucca,Camporgiano,"44.15955695,10.3330076",Bagni di Lucca,"44.0089207,10.5743811",10-09-2024,6:00am,66
Bagni di Lucca,Camporgiano,"44.15955695,10.3330076",Bagni di Lucca,"44.0089207,10.5743811",10-09-2024,7:00am,71
Bagni di Lucca,Camporgiano,"44.15955695,10.3330076",Bagni di Lucca,"44.0089207,10.5743811",10-09-2024,8:00am,71
Bagni di Lucca,Camporgiano,"44.15955695,10.3330076",Bagni di Lucca,"44.0089207,10.5743811",10-09-2024,9:00am,71
Bagni di Lucca,Camporgiano,"44.15955695,10.3330076",Bagni di Lucca,"44.0089207,10.5743811",10-09-2024,10:00am,71
Bagni di Lucca,Camporgiano,"44.15955695,10.3330076",Bagni di Lucca,"44.0089207,10.5743811",10-09-2024,11:00am,71
Bagni di Lucca,Camporgiano,"44.15955695,10.3330076",Bagni di Lucca,"44.0089207,10.5743811",07-03-2024,2:00am,70
Bagni di Lucca,Camporgiano,"44.15955695,10.3330076",Bagni di Lucca,"44.0089207,10.5743811",07-03-2024,3:00am,70
Bagni di Lucca,Camporgiano,"44.15955695,10.3330076",Bagni di Lucca,"44.0089207,10.5743811",07-03-2024,4:00am,70
Bagni di Lucca,Camporgiano,"44.15955695,10.3330076",Bagni di Lucca,"44.0089207,10.5743811",07-03-2024,5:00am,70
Bagni di Lucca,Camporgiano,"44.15955695,10.3330076",Bagni di Lucca,"44.0089207,10.5743811",07-03-2024,6:00am,70
Bagni di Lucca,Camporgiano,"44.15955695,10.3330076",Bagni di Lucca,"44.0089207,10.5743811",07-03-2024,7:00am,71
Bagni di Lucca,Camporgiano,"44.15955695,10.3330076",Bagni di Lucca,"44.0089207,10.5743811",07-03-2024,8:00am,71
Bagni di Lucca,Camporgiano,"44.15955695,10.3330076",Bagni di Lucca,"44.0089207,10.5743811",07-03-2024,9:00am,71
