,trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,poligono,poligono_successivo
2478,4791_3547,18:25:00,18:25:00,2@C4548_600,1,0.0,Bagni di Lucca,Bagni di Lucca
2479,4791_3547,18:26:00,18:26:00,2@C5203_600,2,0.393,Bagni di Lucca,Bagni di Lucca
2480,4791_3547,18:33:00,18:33:00,2@C5205_600,3,2.336,Bagni di Lucca,Bagni di Lucca
2481,4791_3547,18:42:00,18:42:00,2@C5206_600,4,4.893,Bagni di Lucca,3.0
2482,4791_3548,07:56:00,07:56:00,2@C4548_600,1,0.0,Bagni di Lucca,Bagni di Lucca
2483,4791_3548,07:57:00,07:57:00,2@C5203_600,2,0.393,Bagni di Lucca,Bagni di Lucca
2484,4791_3548,08:04:00,08:04:00,2@C5205_600,3,2.336,Bagni di Lucca,Bagni di Lucca
2485,4791_3548,08:13:00,08:13:00,2@C5206_600,4,4.893,Bagni di Lucca,3.0
2486,4791_3549,18:30:00,18:30:00,2@C4548_600,1,0.0,Bagni di Lucca,Bagni di Lucca
2487,4791_3549,18:31:00,18:31:00,2@C5203_600,2,0.393,Bagni di Lucca,Bagni di Lucca
2488,4791_3549,18:38:00,18:38:00,2@C5205_600,3,2.336,Bagni di Lucca,Bagni di Lucca
2489,4791_3549,18:47:00,18:47:00,2@C5206_600,4,4.893,Bagni di Lucca,3.0
2490,4791_3550,08:05:00,08:05:00,2@C4548_600,1,0.0,Bagni di Lucca,Bagni di Lucca
2491,4791_3550,08:06:00,08:06:00,2@C5203_600,2,0.393,Bagni di Lucca,Bagni di Lucca
2492,4791_3550,08:13:00,08:13:00,2@C5205_600,3,2.336,Bagni di Lucca,Bagni di Lucca
2493,4791_3550,08:22:00,08:22:00,2@C5206_600,4,4.893,Bagni di Lucca,3.0
2494,4791_3551,06:25:00,06:25:00,2@C4548_600,1,0.0,Bagni di Lucca,Bagni di Lucca
2495,4791_3551,06:26:00,06:26:00,2@C5203_600,2,0.393,Bagni di Lucca,Bagni di Lucca
2496,4791_3551,06:31:00,06:31:00,2@C5205_600,3,2.336,Bagni di Lucca,Bagni di Lucca
2497,4791_3551,06:37:00,06:37:00,2@C5206_600,4,4.893,Bagni di Lucca,3.0
2498,4791_3552,13:30:00,13:30:00,2@C5200_600,1,0.0,Bagni di Lucca,Bagni di Lucca
2499,4791_3552,13:31:00,13:31:00,2@C3359_600,2,0.333,Bagni di Lucca,Bagni di Lucca
2500,4791_3552,13:32:00,13:32:00,2@C4548_600,3,0.512,Bagni di Lucca,Bagni di Lucca
2501,4791_3552,13:33:00,13:33:00,2@C5203_600,4,0.905,Bagni di Lucca,Bagni di Lucca
2502,4791_3552,13:39:00,13:39:00,2@C5205_600,5,2.848,Bagni di Lucca,Bagni di Lucca
2503,4791_3552,13:47:00,13:47:00,2@C5206_600,6,5.405,Bagni di Lucca,5.0
2504,4791_3553,16:38:00,16:38:00,2@C5200_600,1,0.0,Bagni di Lucca,Bagni di Lucca
2505,4791_3553,16:39:00,16:39:00,2@C3359_600,2,0.333,Bagni di Lucca,Bagni di Lucca
2506,4791_3553,16:40:00,16:40:00,2@C4548_600,3,0.512,Bagni di Lucca,Bagni di Lucca
2507,4791_3553,16:41:00,16:41:00,2@C5203_600,4,0.905,Bagni di Lucca,Bagni di Lucca
2508,4791_3553,16:47:00,16:47:00,2@C5205_600,5,2.848,Bagni di Lucca,Bagni di Lucca
2509,4791_3553,16:55:00,16:55:00,2@C5206_600,6,5.405,Bagni di Lucca,5.0
2510,4791_3554,18:42:00,18:42:00,2@C5206_600,1,0.0,Bagni di Lucca,Bagni di Lucca
2511,4791_3554,18:50:00,18:50:00,2@C5246_600,2,2.58,Bagni di Lucca,Bagni di Lucca
2512,4791_3554,18:56:00,18:56:00,2@C5248_600,3,4.486,Bagni di Lucca,Bagni di Lucca
2513,4791_3554,18:58:00,18:58:00,2@C3359_600,4,5.106,Bagni di Lucca,Bagni di Lucca
2514,4791_3554,18:59:00,18:59:00,2@C4548_600,5,5.285,Bagni di Lucca,4.0
2515,4791_3555,08:13:00,08:13:00,2@C5206_600,1,0.0,Bagni di Lucca,Bagni di Lucca
2516,4791_3555,08:21:00,08:21:00,2@C5246_600,2,2.58,Bagni di Lucca,Bagni di Lucca
2517,4791_3555,08:27:00,08:27:00,2@C5248_600,3,4.486,Bagni di Lucca,Bagni di Lucca
2518,4791_3555,08:29:00,08:29:00,2@C3359_600,4,5.106,Bagni di Lucca,Bagni di Lucca
2519,4791_3555,08:30:00,08:30:00,2@C4548_600,5,5.285,Bagni di Lucca,4.0
2520,4791_3556,18:52:00,18:52:00,2@C5206_600,1,0.0,Bagni di Lucca,Bagni di Lucca
2521,4791_3556,19:00:00,19:00:00,2@C5246_600,2,2.58,Bagni di Lucca,Bagni di Lucca
2522,4791_3556,19:06:00,19:06:00,2@C5248_600,3,4.486,Bagni di Lucca,Bagni di Lucca
2523,4791_3556,19:08:00,19:08:00,2@C3359_600,4,5.106,Bagni di Lucca,Bagni di Lucca
2524,4791_3556,19:09:00,19:09:00,2@C4548_600,5,5.285,Bagni di Lucca,4.0
2525,4791_3557,13:47:00,13:47:00,2@C5206_600,1,0.0,Bagni di Lucca,Bagni di Lucca
2526,4791_3557,13:55:00,13:55:00,2@C5246_600,2,2.58,Bagni di Lucca,Bagni di Lucca
