Comune,LatLong
Camporgiano,"44.15955695,10.3330076"
Careggine,"44.11944175,10.3256665"
Castelnuovo di Garfagnana,"44.11419535,10.4024762"
Castiglione di Garfagnana,"44.1517665,10.41126715"
Fabbriche di Vegermoli,"43.99803285,10.42961115"
Fosciandora,"44.11533145,10.45835555"
Gallicano,"44.06049345,10.4397426"
Minucciano,"44.1696951,10.20750045"
Molazzana,"44.07211555,10.4178267"
Piazza al Serchio,"44.1846216,10.2940049"
Pieve Fosciana ,"44.14504415,10.44694585"
San Romano di Garfagnana,"44.1703812,10.34601445"
Sillano Giuncugnano,"44.2231432,10.300024"
Villa Collemandina,"44.15904725,10.39775715"
Bagni di Lucca,"44.0089207,10.5743811"
Barga,"44.07326495,10.4775162"
Borgo a Mozzano,"43.98057185,10.54311025"
Coreglia Antelminelli,"44.0692364,10.5599585"
Pescaglia,"43.9649472,10.41305245"
Lucca,"43.8497093,10.47233955"
