Comune,LatLong
Lucca,"43.84281,10.50238"
Borgo a Mozzano,"43.98057185,10.54311025"
Coreglia Antelminelli,"44.0692364,10.5599585"
Pescaglia,"43.9649472,10.41305245"
Camporgiano,"44.15955695,10.3330076"
Careggine,"44.11944175,10.3256665"
Castelnuovo di Garfagnana,"44.11419535,10.4024762"
Palleroso,"44.1096959,10.442455"
Monterotondo,"44.0951114,10.4155062"
Antisciana,"44.1196259,10.3870937"
Gragnanella,"44.1236479,10.37710085"
Cerretoli,"44.11105585,10.37682155"
Colle,"44.11387295,10.36643855"
Metello,"44.09745305,10.35215725"
Rontano,"44.09225075,10.3707731"
Castiglione di Garfagnana,"44.1517665,10.41126715"
Fabbriche di Vergemoli,"43.99803285,10.42961115"
Fosciandora,"44.11533145,10.45835555"
Gallicano,"44.06049345,10.4397426"
Minucciano,"44.1696951,10.20750045"
Molazzana,"44.07211555,10.4178267"
Piazza al Serchio,"44.1846216,10.2940049"
Borsigliana,"44.2117275	10.309537"
Cogna,"44.2117073,10.2929282"
Colognola,"44.1937854,10.281094"
Cortia,"44.1818611,10.26964775"
Gragnana,"44.1951069,10.27351825"
Livignano,"44.2047231,10.3101899"
Nicciano,"44.1815453,10.27584885"
Petrognano,"44.1754029,10.31317455"
Petrognola,"44.1998208,10.280456"
San Donnino,"44.1810963,10.3107964"
San Michele,"44.18636755,10.2828504"
Sant'Anastasio,"44.19985575,10.28520365"
Vergnano,"44.21600935,10.30638735"
Pieve Fosciana,"44.14504415,10.44694585"
San Romano in Garfagnana,"44.1703812,10.34601445"
Sillano Giuncugnano,"44.2231432,10.300024"
Villa Collemandina,"44.15904725,10.39775715"
Bagni di Lucca,"44.0089207,10.5743811"
Barga,"44.07326495,10.4775162"
Albiano,"44.08551655,10.47436855"
Castelvecchio Pascoli,"44.0829741,10.46270785"
Filecchio,"44.0508507,10.49561485"
Fornaci di Barga,"44.0491626,10.47249265"
Loppia,"44.05488345,10.490436"
Mologno,"44.0668303,10.4541621"
Ponte all'Ania,"44.0424564,10.4907106"
Renaio,"44.10742215,10.5263222"
San Pietro in Campo,"44.0771547,10.4536476"
Sommocolonia,"44.09259265,10.49081325"
Tiglio,"44.0729531,10.51827075"
